row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2024VND,Số tăng trong nămVND,Số đã sử dụng trong nămVND,Ngày 31 tháng 12năm 2025VND,numeric__Ngày 31 tháng 12 năm 2024VND,numeric__Số tăng trong nămVND,numeric__Số đã sử dụng trong nămVND,numeric__Ngày 31 tháng 12năm 2025VND
Quỹ khen thưởng,Quỹ khen thưởng,Quỹ khen thưởng,5.488.609.668,28.676.654.560,(12.877.948.076),21.287.316.152,5488609668.0,28676654560.0,-12877948076.0,21287316152.0
Quỹ phúc lợi,Quỹ phúc lợi,Quỹ phúc lợi,14.904.217.597,14.248.937.933,(13.832.526.569),15.320.628.961,14904217597.0,14248937933.0,-13832526569.0,15320628961.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,20.392.827.265,42.925.592.493,(26.710.474.645),36.607.945.113,20392827265.0,42925592493.0,-26710474645.0,36607945113.0
