row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2025VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2025VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.285.413.218.955,1.180.182.814.370,1285413218955.0,1180182814370.0
"Các khoản điều chỉnh giảm:- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","Các khoản điều chỉnh giảm:- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","Các khoản điều chỉnh giảm:- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia",(1.281.644.585.036),(1.231.677.263.281),-1281644585036.0,-1231677263281.0
- Lãi chênh lệch tỷ giá chưa thực hiện,- Lãi chênh lệch tỷ giá chưa thực hiện,- Lãi chênh lệch tỷ giá chưa thực hiện,(7.163.160),(10.744.740),-7163160.0,-10744740.0
- Lỗ tính thuế năm trước chuyển sang,- Lỗ tính thuế năm trước chuyển sang,- Lỗ tính thuế năm trước chuyển sang,(10.013.198.166),-,-10013198166.0,
Các khoản điều chỉnh tăng:- Chi phí không được khấu trừ thuế,Các khoản điều chỉnh tăng:- Chi phí không được khấu trừ thuế,Các khoản điều chỉnh tăng:- Chi phí không được khấu trừ thuế,6.251.727.407,2.083.332.488,6251727407.0,2083332488.0
Thu nhập chịu thuế wốc tính trong năm (*),Thu nhập chịu thuế wốc tính trong năm (*),Thu nhập chịu thuế wốc tính trong năm (*),-,(49.421.861.163),,-49421861163.0
Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,Thuế suất thuế thu nhập doanh nghiệp,20%,20%,0.2,0.2
Thuế TNDN phải trả wốc tính trên thu nhập chịu thuế,Thuế TNDN phải trả wốc tính trên thu nhập chịu thuế,Thuế TNDN phải trả wốc tính trên thu nhập chịu thuế,-,-,,
Thuế TNDN phải thu đầu năm,Thuế TNDN phải trả wốc tính trên thu nhập chịu thuế > Thuế TNDN phải thu đầu năm,Thuế TNDN phải thu đầu năm,(4.788.139.706),(4.788.139.706),-4788139706.0,-4788139706.0
Điều chỉnh thuế TNDN nộp thừa các năm trước,Thuế TNDN phải trả wốc tính trên thu nhập chịu thuế > Điều chỉnh thuế TNDN nộp thừa các năm trước,Điều chỉnh thuế TNDN nộp thừa các năm trước,14.770.118,-,14770118.0,
Thuế TNDN phải thu cuối năm,Thuế TNDN phải trả wốc tính trên thu nhập chịu thuế > Thuế TNDN phải thu cuối năm,Thuế TNDN phải thu cuối năm,(4.773.369.588),(4.788.139.706),-4773369588.0,-4788139706.0
