row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2025 > Giá gốc VND,Ngày 31 tháng 12 năm 2025 > Giá trị ghi sổ (sau khi trích lập dự phòng) VND,Ngày 31 tháng 12 năm 2024 > Giá gốc VND,Ngày 31 tháng 12 năm 2024 > Giá trị ghi sổ (sau khi trích lập dự phòng) VND,numeric__Ngày 31 tháng 12 năm 2025 > Giá gốc VND,numeric__Ngày 31 tháng 12 năm 2025 > Giá trị ghi sổ (sau khi trích lập dự phòng) VND,numeric__Ngày 31 tháng 12 năm 2024 > Giá gốc VND,numeric__Ngày 31 tháng 12 năm 2024 > Giá trị ghi sổ (sau khi trích lập dự phòng) VND
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,,,
"Quỹ Đầu tư Cổ phiếu Năng đông Bảo Việt (""BVFED"")","Chứng chỉ quỹ > Quỹ Đầu tư Cổ phiếu Năng đông Bảo Việt (""BVFED"")","Quỹ Đầu tư Cổ phiếu Năng đông Bảo Việt (""BVFED"")",25.000.000.000,25.000.000.000,25.000.000.000,25.000.000.000,25000000000.0,25000000000.0,25000000000.0,25000000000.0
"Quỹ Đầu tư Cổ phiếu Triển vọng Bảo Việt (""BVPF"")","Chứng chỉ quỹ > Quỹ Đầu tư Cổ phiếu Triển vọng Bảo Việt (""BVPF"")","Quỹ Đầu tư Cổ phiếu Triển vọng Bảo Việt (""BVPF"")",20.000.000.000,20.000.000.000,20.000.000.000,20.000.000.000,20000000000.0,20000000000.0,20000000000.0,20000000000.0
Quỹ ETF BVFVN DIAMOND,Chứng chỉ quỹ > Quỹ ETF BVFVN DIAMOND,Quỹ ETF BVFVN DIAMOND,17.063.124.199,17.063.124.199,17.063.124.199,17.063.124.199,17063124199.0,17063124199.0,17063124199.0,17063124199.0
,,,62.063.124.199,62.063.124.199,62.063.124.199,62.063.124.199,62063124199.0,62063124199.0,62063124199.0,62063124199.0
TỔNG CỘNG,Chứng chỉ quỹ > TỔNG CỘNG,TỔNG CỘNG,62.063.124.199,62.063.124.199,62.063.124.199,62.063.124.199,62063124199.0,62063124199.0,62063124199.0,62063124199.0
6.2 Đầu tư nằm giữ đến ngày đáo hạn,6.2 Đầu tư nằm giữ đến ngày đáo hạn,6.2 Đầu tư nằm giữ đến ngày đáo hạn,6.2 Đầu tư nằm giữ đến ngày đáo hạn,6.2 Đầu tư nằm giữ đến ngày đáo hạn,6.2 Đầu tư nằm giữ đến ngày đáo hạn,6.2 Đầu tư nằm giữ đến ngày đáo hạn,,,,
,,,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,,,,
,,,Giá gốc VND,Giá trị ghi sổ VND,Giá gốc VND,Giá trị ghi sổ VND,,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (*),Ngắn hạn > Tiền gửi (*),Tiền gửi (*),3.292.011.111.006,3.130.000.000.000,2.767.000.000.000,2.603.000.000.000,3292011111006.0,3130000000000.0,2767000000000.0,2603000000000.0
Trái phiếu (**),Ngắn hạn > Trái phiếu (**),Trái phiếu (**),154.709.500.000,-,154.709.500.000,-,154709500000.0,,154709500000.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,3.446.720.611.006,3.130.000.000.000,2.921.709.500.000,2.603.000.000.000,3446720611006.0,3130000000000.0,2921709500000.0,2603000000000.0
