row_label_raw,row_label_full,col_0,Quá hạn,Không xác định kỳ hạn,Đến 1 năm,Từ 1 – 3 năm,Từ 3 – 5 năm,Từ 5 – 15 năm,Trên 15 năm,Tổng cộng,numeric__Quá hạn,numeric__Không xác định kỳ hạn,numeric__Đến 1 năm,numeric__Từ 1 – 3 năm,numeric__Từ 3 – 5 năm,numeric__Từ 5 – 15 năm,numeric__Trên 15 năm,numeric__Tổng cộng
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,121.632,-,-,-,-,121.632,,,121632.0,,,,,121632.0
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,62.063,-,-,-,-,-,62.063,,62063.0,,,,,,62063.0
- Chứng chỉ quỹ,Tài sản tài chính > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,62.063,-,-,-,-,-,62.063,,62063.0,,,,,,62063.0
Đầu tư nắm giữ đến ngày đáo hạn,Tài sản tài chính > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,-,-,2.603.000,-,-,-,-,2.603.000,,,2603000.0,,,,,2603000.0
- Hợp đồng tiến gửi,Tài sản tài chính > - Hợp đồng tiến gửi,- Hợp đồng tiến gửi,-,-,2.603.000,-,-,-,-,2.603.000,,,2603000.0,,,,,2603000.0
Đầu tư tài chính khác,Tài sản tài chính > Đầu tư tài chính khác,Đầu tư tài chính khác,-,485.209,-,-,-,-,-,485.209,,485209.0,,,,,,485209.0
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,-,-,1.775.498,-,-,-,-,1.775.498,,,1775498.0,,,,,1775498.0
- Phải thu các bên liên quan,Tài sản tài chính > - Phải thu các bên liên quan,- Phải thu các bên liên quan,-,-,63.455,-,-,-,-,63.455,,,63455.0,,,,,63455.0
- Phải thu cổ tức và lợi nhuận,Tài sản tài chính > - Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận,-,-,1.707.232,-,-,-,-,1.707.232,,,1707232.0,,,,,1707232.0
- Phải thu khác,Tài sản tài chính > - Phải thu khác,- Phải thu khác,-,-,4.811,-,-,-,-,4.811,,,4811.0,,,,,4811.0
TỔNG CỘNG,Tài sản tài chính > TỔNG CỘNG,TỔNG CỘNG,-,547.272,4.500.130,-,-,-,-,5.047.402,,547272.0,4500130.0,,,,,5047402.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,
Phải trả các bên liên quan,Nợ phải trả tài chính > Phải trả các bên liên quan,Phải trả các bên liên quan,-,-,24.982,-,-,-,-,24.982,,,24982.0,,,,,24982.0
Phải trả thương mại,Nợ phải trả tài chính > Phải trả thương mại,Phải trả thương mại,-,-,18.988,-,-,-,-,18.988,,,18988.0,,,,,18988.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,-,-,52.048,-,-,-,-,52.048,,,52048.0,,,,,52048.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,-,-,1.678,-,-,-,-,1.678,,,1678.0,,,,,1678.0
TỔNG CỘNG,Nợ phải trả tài chính > TỔNG CỘNG,TỔNG CỘNG,-,-,97.696,-,-,-,-,97.696,,,97696.0,,,,,97696.0
