row_label_raw,row_label_full,Giá trị ghi sô > Nguyên giá VND,Giá trị ghi sô > Dư phòng giảm giá trị VND,Giá trị ghi sô > Giá trị thuần VND,Giá trị hợp lý > VND,numeric__Giá trị ghi sô > Dư phòng giảm giá trị VND,numeric__Giá trị ghi sô > Giá trị thuần VND,numeric__Giá trị hợp lý > VND
62.063.124.199,62.063.124.199,62.063.124.199,-,62.063.124.199,150.539.416.000,,62063124199.0,150539416000.0
62.063.124.199,62.063.124.199,62.063.124.199,-,62.063.124.199,150.539.416.000,,62063124199.0,150539416000.0
3.517.159.098.675,3.517.159.098.675,3.517.159.098.675,(316.720.611.006),3.200.438.487.669,3.243.566.729.458,-316720611006.0,3200438487669.0,3243566729458.0
3.362.449.598.675,3.362.449.598.675,3.362.449.598.675,(162.011.111.006),3.200.438.487.669,3.243.566.729.458,-162011111006.0,3200438487669.0,3243566729458.0
154.709.500.000,154.709.500.000,154.709.500.000,(154.709.500.000),-,-,-154709500000.0,,
517.818.194.000,517.818.194.000,517.818.194.000,-,517.818.194.000,1.522.021.589.881,,517818194000.0,1522021589881.0
1.816.784.029.322,1.816.784.029.322,1.816.784.029.322,-,1.816.784.029.322,1.816.784.029.322,,1816784029322.0,1816784029322.0
76.762.698.145,76.762.698.145,76.762.698.145,-,76.762.698.145,76.762.698.145,,76762698145.0,76762698145.0
1.738.941.904.100,1.738.941.904.100,1.738.941.904.100,-,1.738.941.904.100,1.738.941.904.100,,1738941904100.0,1738941904100.0
1.079.427.077,1.079.427.077,1.079.427.077,-,1.079.427.077,1.079.427.077,,1079427077.0,1079427077.0
77.921.603.736,77.921.603.736,77.921.603.736,-,77.921.603.736,77.921.603.736,,77921603736.0,77921603736.0
5.991.746.049.932,5.991.746.049.932,5.991.746.049.932,(316.720.611.006),5.675.025.438.926,6.810.833.368.397,-316720611006.0,5675025438926.0,6810833368397.0
