row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày đầu năm,Nguyên giá > Tại ngày đầu năm,Tại ngày đầu năm,14.172.847.431,6.793.512.757,171.739.184,21.138.099.372,14172847431.0,6793512757.0,171739184.0,21138099372.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,140.000.000,-,140.000.000,,140000000.0,,140000000.0
Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 14),Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 14),Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 14),-,72.500.000,-,72.500.000,,72500000.0,,72500000.0
Giảm do bán công ty con,Nguyên giá > Giảm do bán công ty con,Giảm do bán công ty con,-,(30.000.000),-,(30.000.000),,-30000000.0,,-30000000.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,14.172.847.431,6.976.012.757,171.739.184,21.320.599.372,14172847431.0,6976012757.0,171739184.0,21320599372.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,1.146.317.719,643.646.343,120.310.408,1.910.274.470,1146317719.0,643646343.0,120310408.0,1910274470.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,591.987.882,2.089.537.642,12.883.164,2.694.408.688,591987882.0,2089537642.0,12883164.0,2694408688.0
Giảm do bán công tycon,Khấu hao lũy kế > Giảm do bán công tycon,Giảm do bán công tycon,-,(30.000.000),-,(30.000.000),,-30000000.0,,-30000000.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,1.738.305.601,2.703.183.985,133.193.572,4.574.683.158,1738305601.0,2703183985.0,133193572.0,4574683158.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,13.026.529.712,6.149.866.414,51.428.776,19.227.824.902,13026529712.0,6149866414.0,51428776.0,19227824902.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,12.434.541.830,4.272.828.772,38.545.612,16.745.916.214,12434541830.0,4272828772.0,38545612.0,16745916214.0
