row_label_raw,row_label_full,Bên liên quan (Thuyết minh 37(b)),Tại ngày đầu năm VND > Bên liên quan (Thuyết minh 37(b)),Chỉ cho vay VND > Bên liên quan (Thuyết minh 37(b)),Thu hồi nợ vay VND > Bên liên quan (Thuyết minh 37(b)),Tại ngày cuối năm VND > Bên liên quan (Thuyết minh 37(b)),numeric__Tại ngày đầu năm VND > Bên liên quan (Thuyết minh 37(b)),numeric__Chỉ cho vay VND > Bên liên quan (Thuyết minh 37(b)),numeric__Thu hồi nợ vay VND > Bên liên quan (Thuyết minh 37(b)),numeric__Tại ngày cuối năm VND > Bên liên quan (Thuyết minh 37(b))
Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,Công ty Cổ phần Giao dịch Hàng hóa Sơn Tín,111.000.000.000,-,(40.000.000.000),71.000.000.000,111000000000.0,,-40000000000.0,71000000000.0
Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,30.000.000.000,165.789.904.119,(126.589.506.280),69.200.397.839,30000000000.0,165789904119.0,-126589506280.0,69200397839.0
Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,13.400.000.000,-,(13.400.000.000),-,13400000000.0,,-13400000000.0,
Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,Công ty Cổ phần Năng lượng sạch Ninh Thuận,3.500.000.000,500.000.000,-,4.000.000.000,3500000000.0,500000000.0,,4000000000.0
,,,157.900.000.000,166.289.904.119,(179.989.506.280),144.200.397.839,157900000000.0,166289904119.0,-179989506280.0,144200397839.0
