row_label_raw,row_label_full,Tài sản,Tài sản_1,numeric__Tài sản_1
Tiền,Tiền,Tiền,21.427.794,21427794.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,1.342.823.101,1342823101.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,589.188.174,589188174.0
Tài sản dở dang dài hạn (Thuyết minh 14),Tài sản dở dang dài hạn (Thuyết minh 14),Tài sản dở dang dài hạn (Thuyết minh 14),6.179.058.101,6179058101.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,33.645.162,33645162.0
,,,8.166.142.332,8166142332.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,3.866.142.332,3866142332.0
Tài sản thuần,Nợ phải trả > Tài sản thuần,Tài sản thuần,4.300.000.000,4300000000.0
Lợi ích cổ đông không kiểm soát (Thuyết minh 26),Nợ phải trả > Lợi ích cổ đông không kiểm soát (Thuyết minh 26),Lợi ích cổ đông không kiểm soát (Thuyết minh 26),1.700.000.000,1700000000.0
Tổng giá phí,Tổng giá phí,Tổng giá phí,Tổng giá phí,
Tiền,Tổng giá phí > Tiền,Tiền,2.600.000.000,2600000000.0
