row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,308.586.244.471,303.947.764.926,308586244471.0,303947764926.0
Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,,
Chi phí không được khấu trừ,Điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,22.413.110.600,26.144.989.041,22413110600.0,26144989041.0
Thay đổi lợi nhuận chưa thực hiện,Điều chỉnh: > Thay đổi lợi nhuận chưa thực hiện,Thay đổi lợi nhuận chưa thực hiện,(2.527.916.425),(1.271.499.995),-2527916425.0,-1271499995.0
Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại,Điều chỉnh: > Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại,Lỗ tính thuế mà không ghi nhận tài sản thuế TNDN hoãn lại,2.805.788.511,562.975.806,2805788511.0,562975806.0
Chênh lệch tạm thời mà không được ghi nhận thuế TNDN hoãn lại,Điều chỉnh: > Chênh lệch tạm thời mà không được ghi nhận thuế TNDN hoãn lại,Chênh lệch tạm thời mà không được ghi nhận thuế TNDN hoãn lại,-,371.014.156,,371014156.0
Lỗ tính thuế đã được sử dụng,Điều chỉnh: > Lỗ tính thuế đã được sử dụng,Lỗ tính thuế đã được sử dụng,-,(15.323.216),,-15323216.0
Thu nhập chịu thuế ước tính,Điều chỉnh: > Thu nhập chịu thuế ước tính,Thu nhập chịu thuế ước tính,331.277.227.157,329.739.920.718,331277227157.0,329739920718.0
Thuế tính ở thuế suất 20%,Điều chỉnh: > Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,17.716.298.655,11.220.661.767,17716298655.0,11220661767.0
Thuế tính ở thuế suất 10%,Điều chỉnh: > Thuế tính ở thuế suất 10%,Thuế tính ở thuế suất 10%,23.056.730.995,27.521.998.490,23056730995.0,27521998490.0
Thuế được miễn hoặc giảm,Điều chỉnh: > Thuế được miễn hoặc giảm,Thuế được miễn hoặc giảm,(27.149.640.430),(25.317.768.250),-27149640430.0,-25317768250.0
Bổ sung chi phí thuế TNDN năm trước,Điều chỉnh: > Bổ sung chi phí thuế TNDN năm trước,Bổ sung chi phí thuế TNDN năm trước,-,7.125.522,,7125522.0
Chi phí thuế TNDN (*),Điều chỉnh: > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),13.623.389.220,13.432.017.529,13623389220.0,13432017529.0
Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất:,,
Thuế TNDN - hiện hành,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,14.128.972.505,13.686.317.528,14128972505.0,13686317528.0
Thu nhập thuế TNDN - hoãn lại (Thuyết minh 24) (**),Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhất: > Thu nhập thuế TNDN - hoãn lại (Thuyết minh 24) (**),Thu nhập thuế TNDN - hoãn lại (Thuyết minh 24) (**),(505.583.285),(254.299.999),-505583285.0,-254299999.0
,,,13.623.389.220,13.432.017.529,13623389220.0,13432017529.0
