row_label_raw,row_label_full,Tổng giá trị các khoản phải thu quá hạn thanh toán > Công ty Cổ phần Gia Lâm > Công ty TNHH GKC > Khác,Số cuối năm > Giá trị gốc VND > Tổng giá trị các khoản phải thu quá hạn thanh toán > 691.183.500 > 280.028.312 > 37.100.300,Số cuối năm > Giá trị có thể thu hồi VND > Tổng giá trị các khoản phải thu quá hạn thanh toán > -,Số cuối năm > Dự phòng VND > Tổng giá trị các khoản phải thu quá hạn thanh toán > (691.183.500) > (280.028.312) > (37.100.300),Số cuối năm > Thời gian quá hạn > Tổng giá trị các khoản phải thu quá hạn thanh toán > Trên 3 năm > Trên 1 năm,numeric__Số cuối năm > Giá trị gốc VND > Tổng giá trị các khoản phải thu quá hạn thanh toán > 691.183.500 > 280.028.312 > 37.100.300,numeric__Số cuối năm > Giá trị có thể thu hồi VND > Tổng giá trị các khoản phải thu quá hạn thanh toán > -,numeric__Số cuối năm > Dự phòng VND > Tổng giá trị các khoản phải thu quá hạn thanh toán > (691.183.500) > (280.028.312) > (37.100.300),numeric__Số cuối năm > Thời gian quá hạn > Tổng giá trị các khoản phải thu quá hạn thanh toán > Trên 3 năm > Trên 1 năm
,,,1.008.312.112,-,(1.008.312.112),,1008312112.0,,-1008312112.0,
,,,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
,,,Giá trị gốc VND,Giá trị có thể thu hồi VND,Dự phòng VND,Thời gian quá hạn,,,,
Tổng giá trị các khoản phải thu quá hạn thanh toán,Tổng giá trị các khoản phải thu quá hạn thanh toán,Tổng giá trị các khoản phải thu quá hạn thanh toán,Tổng giá trị các khoản phải thu quá hạn thanh toán,Tổng giá trị các khoản phải thu quá hạn thanh toán,Tổng giá trị các khoản phải thu quá hạn thanh toán,Tổng giá trị các khoản phải thu quá hạn thanh toán,,,,
Công ty Cổ phần Gia Lâm,Tổng giá trị các khoản phải thu quá hạn thanh toán > Công ty Cổ phần Gia Lâm,Công ty Cổ phần Gia Lâm,691.183.500,-,(691.183.500),Trên 3 năm,691183500.0,,-691183500.0,
Công ty TNHH GKC,Tổng giá trị các khoản phải thu quá hạn thanh toán > Công ty TNHH GKC,Công ty TNHH GKC,280.028.312,-,(280.028.312),Trên 2 năm,280028312.0,,-280028312.0,
Công ty TNHH Đầu tư và Phát triển Năng lượng Thành Nguyên,Tổng giá trị các khoản phải thu quá hạn thanh toán > Công ty TNHH Đầu tư và Phát triển Năng lượng Thành Nguyên,Công ty TNHH Đầu tư và Phát triển Năng lượng Thành Nguyên,462.000.000,231.000.000,(231.000.000),Trên 1 năm,462000000.0,231000000.0,-231000000.0,
,,,1.433.211.812,231.000.000,(1.202.211.812),,1433211812.0,231000000.0,-1202211812.0,
