row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Dự án điện mặt trời,Dự án điện mặt trời,Dự án điện mặt trời,,,,
Đức Huệ - Long An 2 (i),Dự án điện mặt trời > Đức Huệ - Long An 2 (i),Đức Huệ - Long An 2 (i),226.044.981.606,223.150.023.724,226044981606.0,223150023724.0
Hàm Phú 1,Dự án điện mặt trời > Hàm Phú 1,Hàm Phú 1,8.831.117.103,7.132.518.012,8831117103.0,7132518012.0
Dự án điện gió,Dự án điện gió,Dự án điện gió,,,,
VPL (ii),Dự án điện gió > VPL (ii),VPL (ii),198.420.802.958,2.691.665.636,198420802958.0,2691665636.0
Ia Bang (iii),Dự án điện gió > Ia Bang (iii),Ia Bang (iii),55.374.070.719,-,55374070719.0,
Tiền Giang (iv),Dự án điện gió > Tiền Giang (iv),Tiền Giang (iv),48.936.758.737,-,48936758737.0,
Dự án điện rooftop,Dự án điện rooftop,Dự án điện rooftop,,,,
Điện mặt trời áp mái (v),Dự án điện rooftop > Điện mặt trời áp mái (v),Điện mặt trời áp mái (v),811.606.101,26.630.357.352,811606101.0,26630357352.0
Các dự án khác,Dự án điện rooftop > Các dự án khác,Các dự án khác,2.997.557.539,3.210.950.888,2997557539.0,3210950888.0
,,,541.416.894.763,262.815.515.612,541416894763.0,262815515612.0
