row_label_raw,row_label_full,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo),THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_1,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_2,numeric__THUYẾT MINH CÁC BÊN LIÊN QUAN (tiếp theo)_3
Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),Giao dịch với các bên liên quan (tiếp theo),,,
Bên liên quan,Bên liên quan,Bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,,,
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Cho vay,165.789.904.119,32.000.000.000,,165789904119.0,32000000000.0
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Chuyển đổi cho vay thành đặt cọc,101.589.506.280,-,,101589506280.0,
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Thu hồi khoản cho vay,25.000.000.000,1.000.000.000,,25000000000.0,1000000000.0
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Chuyển đổi khoản phải thu lãi vay thành đặt cọc,8.410.493.720,-,,8410493720.0,
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Lãi cho vay,10.283.618.193,1.337.698.637,,10283618193.0,1337698637.0
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Doanh thu bán hàng hóa và dịch vụ,11.129.105.905,36.540.417.609,,11129105905.0,36540417609.0
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Mua hàng hóa và dịch vụ,2.817.600,-,,2817600.0,
Công ty Cổ phần Thủy điện Trường Phú,Bên liên quan > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,Ứng trước mua hàng hóa và dịch vụ,-,10.000.000.000,,,10000000000.0
Công ty Cổ phần Biên Hòa - Thành Long,Bên liên quan > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,Mua hàng hóa dịch vụ,28.087.935.335,11.969.669.600,,28087935335.0,11969669600.0
Công ty Cổ phần Biên Hòa - Thành Long,Bên liên quan > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,Thu hồi cho vay,13.400.000.000,2.500.000.000,,13400000000.0,2500000000.0
Công ty Cổ phần Biên Hòa - Thành Long,Bên liên quan > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,Lãi cho vay,380.479.451,360.794.520,,380479451.0,360794520.0
Công ty Cổ phần Biên Hòa - Thành Long,Bên liên quan > Công ty Cổ phần Biên Hòa - Thành Long,Công ty Cổ phần Biên Hòa - Thành Long,Cho vay,-,15.900.000.000,,,15900000000.0
Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Bên liên quan > Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Cho vay,500.000.000,3.500.000.000,,500000000.0,3500000000.0
Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Bên liên quan > Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Lãi cho vay,354.931.503,-,,354931503.0,
Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Bên liên quan > Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Doanh thu bán hàng và cung cấp dịch vụ,19.272.424,10.000.000,,19272424.0,10000000.0
Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Bên liên quan > Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Thu hồi khoản vay,-,159.178.080,,,159178080.0
Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Bên liên quan > Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,Công ty Cổ phần Năng Lượng Sạch Ninh Thuận,"Mua hàng hóa, dịch vụ",-,20.022.000,,,20022000.0
Công ty Cổ phần Thành Thành Nam,Bên liên quan > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Mua hàng hóa và dịch vụ,5.754.490.274,3.147.597.594,,5754490274.0,3147597594.0
