row_label_raw,row_label_full,Nguyên giá,Nguyên giá_1,Nguyên giá_2,Nguyên giá_3,Nguyên giá_4,Nguyên giá_5,Nguyên giá_6,numeric__Nguyên giá_1,numeric__Nguyên giá_2,numeric__Nguyên giá_3,numeric__Nguyên giá_4,numeric__Nguyên giá_5,numeric__Nguyên giá_6
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,1.722.309.631.627,3.808.510.792.854,353.589.663.594,85.317.967.761,170.192.170.167,6.139.920.226.003,1722309631627.0,3808510792854.0,353589663594.0,85317967761.0,170192170167.0,6139920226003.0
Mua trong năm,Mua trong năm,Mua trong năm,1.141.374.268,64.151.313.682,7.948.464.611,320.585.162,9.442.774.556,83.004.512.279,1141374268.0,64151313682.0,7948464611.0,320585162.0,9442774556.0,83004512279.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 14),95.636.146.378,289.534.767.299,10.542.626.612,-,5.058.615.804,400.772.156.093,95636146378.0,289534767299.0,10542626612.0,,5058615804.0,400772156093.0
Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,488.651.465,-,-,-,488.651.465,,488651465.0,,,,488651465.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(32.690.220.884),(2.615.370.139),(290.882.599),-,(35.596.473.622),,-32690220884.0,-2615370139.0,-290882599.0,,-35596473622.0
Phân loại lại,Phân loại lại,Phân loại lại,76.117.189,22.740.774.331,(12.648.910.594),(1.434.787.422),(8.733.193.504),-,76117189.0,22740774331.0,-12648910594.0,-1434787422.0,-8733193504.0,
Giảm do bán công ty con,Giảm do bán công ty con,Giảm do bán công ty con,(8.519.635.186),(12.802.843.755),(2.857.640.210),(47.475.000),-,(24.227.594.151),-8519635186.0,-12802843755.0,-2857640210.0,-47475000.0,,-24227594151.0
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,1.810.643.634.276,4.139.933.234.992,353.958.833.874,83.865.407.902,175.960.367.023,6.564.361.478.067,1810643634276.0,4139933234992.0,353958833874.0,83865407902.0,175960367023.0,6564361478067.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,337.568.338.519,314.446.342.350,75.762.268.344,9.535.601.750,162.891.986.461,900.204.537.424,337568338519.0,314446342350.0,75762268344.0,9535601750.0,162891986461.0,900204537424.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,90.631.955.028,214.944.447.313,19.578.263.480,10.278.187.628,13.830.102.832,349.262.956.281,90631955028.0,214944447313.0,19578263480.0,10278187628.0,13830102832.0,349262956281.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(31.312.350),(3.709.908.942),(1.753.427.049),(143.988.819),-,(5.638.637.160),-31312350.0,-3709908942.0,-1753427049.0,-143988819.0,,-5638637160.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,22.790.686.996,75.065.200.588,4.700.970.528,553.885.105,(103.110.743.217),-,22790686996.0,75065200588.0,4700970528.0,553885105.0,-103110743217.0,
Giảm do bán công ty con,Khấu hao lũy kế > Giảm do bán công ty con,Giảm do bán công ty con,(3.064.459.660),(5.305.866.587),(1.274.604.459),(38.005.524),-,(9.682.936.230),-3064459660.0,-5305866587.0,-1274604459.0,-38005524.0,,-9682936230.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,447.895.208.533,595.440.214.722,97.013.470.844,20.185.680.140,73.611.346.076,1.234.145.920.315,447895208533.0,595440214722.0,97013470844.0,20185680140.0,73611346076.0,1234145920315.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.384.741.293.108,3.494.064.450.504,277.827.395.250,75.782.366.011,7.300.183.706,5.239.715.688.579,1384741293108.0,3494064450504.0,277827395250.0,75782366011.0,7300183706.0,5239715688579.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.362.748.425.743,3.544.493.020.270,256.945.363.030,63.679.727.762,102.349.020.947,5.330.215.557.752,1362748425743.0,3544493020270.0,256945363030.0,63679727762.0,102349020947.0,5330215557752.0
