row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Chuyển sang TSCĐ hữu hình(Thuyết minh 13(a)) > Chuyển sang TSCĐ vô hình(Thuyết minh 13(c)),Năm nay VND > 262.815.515.612 > 675.265.075.537 > (400.772.156.093) > (72.500.000),Năm trước VND > 215.763.242.101 > 2.695.084.896.768 > (2.633.646.229.792) > (13.542.090.296),numeric__Năm nay VND > 262.815.515.612 > 675.265.075.537 > (400.772.156.093) > (72.500.000),numeric__Năm trước VND > 215.763.242.101 > 2.695.084.896.768 > (2.633.646.229.792) > (13.542.090.296)
Thanh lý dự án,Thanh lý dự án,Thanh lý dự án,(1.768.098.394),-,-1768098394.0,
Tăng do hợp nhất kinh doanh(Thuyết minh 3),Tăng do hợp nhất kinh doanh(Thuyết minh 3),Tăng do hợp nhất kinh doanh(Thuyết minh 3),6.179.058.101,-,6179058101.0,
Giảm do bán công ty con,Giảm do bán công ty con,Giảm do bán công ty con,(230.000.000),-,-230000000.0,
Khác,Khác,Khác,-,(844.303.169),,-844303169.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,541.416.894.763,262.815.515.612,541416894763.0,262815515612.0
