row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị VND,Số cuối năm > Dự phòng VND,Số đầu năm > Giá trị VND,Số đầu năm > Dự phòng VND,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Dự phòng VND
Đặt cọc chuyển nhượng cổ phần (i),Đặt cọc chuyển nhượng cổ phần (i),Đặt cọc chuyển nhượng cổ phần (i),205.959.520.000,-,-,-,205959520000.0,,,
Đặt cọc quyền chọn mua cổ phần (ii),Đặt cọc quyền chọn mua cổ phần (ii),Đặt cọc quyền chọn mua cổ phần (ii),110.000.000.000,-,-,-,110000000000.0,,,
Tạm ứng cho nhân viên (iii),Tạm ứng cho nhân viên (iii),Tạm ứng cho nhân viên (iii),96.067.294.926,-,36.477.455.839,-,96067294926.0,,36477455839.0,
Phải thu về hợp đồng hợp tác đầu tư (iv),Phải thu về hợp đồng hợp tác đầu tư (iv),Phải thu về hợp đồng hợp tác đầu tư (iv),74.419.296.000,-,198.000.000.000,-,74419296000.0,,198000000000.0,
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,9.981.104.927,-,6.657.720.508,-,9981104927.0,,6657720508.0,
Khác,Khác,Khác,6.706.348.582,-,1.974.131.141,-,6706348582.0,,1974131141.0,
,,,503.133.564.435,-,243.109.307.488,-,503133564435.0,,243109307488.0,
Trong đóBên thứ ba,Trong đóBên thứ ba,Trong đóBên thứ ba,173.067.029.608,-,239.181.995.382,-,173067029608.0,,239181995382.0,
Bên liên quan(Thuyết minh 37(b)),Bên liên quan(Thuyết minh 37(b)),Bên liên quan(Thuyết minh 37(b)),330.066.534.827,-,3.927.312.106,-,330066534827.0,,3927312106.0,
,,,503.133.564.435,-,243.109.307.488,-,503133564435.0,,243109307488.0,
