row_label_raw,row_label_full,Năm nay VND,Năm trước VND,numeric__Năm trước VND
205.959.520.000,205.959.520.000,205.959.520.000,-,
73.980.000.000,205.959.520.000 > 73.980.000.000,73.980.000.000,163.360.000.000,163360000000.0
9.213.288.085,205.959.520.000 > 9.213.288.085,9.213.288.085,30.706.183.990,30706183990.0
-,205.959.520.000 > -,-,214.056.000.000,214056000000.0
-,205.959.520.000 > -,-,1.485.054.575,1485054575.0
-,205.959.520.000 > -,-,2.393.000.440,2393000440.0
309.036.247.764,205.959.520.000 > 309.036.247.764,309.036.247.764,274.677.793.160,274677793160.0
7.500.000.000,7.500.000.000,7.500.000.000,-,
2.580.000.000,7.500.000.000 > 2.580.000.000,2.580.000.000,2.400.000.000,2400000000.0
34.979.194.580,7.500.000.000 > 34.979.194.580,34.979.194.580,239.506.055.004,239506055004.0
7.000.000.000,7.500.000.000 > 7.000.000.000,7.000.000.000,5.000.000.000,5000000000.0
22.877.928.928,7.500.000.000 > 22.877.928.928,22.877.928.928,1.147.434.800,1147434800.0
1.199.328.000,1.199.328.000,1.199.328.000,-,
623.013.701,1.199.328.000 > 623.013.701,623.013.701,132.691.235,132691235.0
-,1.199.328.000 > -,-,12.000.000.000,12000000000.0
-,1.199.328.000 > -,-,20.000.000.000,20000000000.0
-,1.199.328.000 > -,-,20.000.000.000,20000000000.0
-,1.199.328.000 > -,-,10.000.000.000,10000000000.0
-,1.199.328.000 > -,-,183.561.644,183561644.0
