row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm nayVND,Năm trướcVND,numeric__col_1,numeric__Thuyếtminh,numeric__Năm nayVND,numeric__Năm trướcVND
,,,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠTĐỘNG TÀI CHÍNH,,,,
31,31,31,Tiền thu từ phát hành cổ phiếu,,673.340.390.000,270.260.397.000,,,673340390000.0,270260397000.0
33,33,33,Tiền thu từ đi vay,,1.130.060.879.068,2.901.352.147.173,,,1130060879068.0,2901352147173.0
34,34,34,Tiền chi trả nợ gốc vay,,(1.220.480.684.535),(533.556.028.107),,,-1220480684535.0,-533556028107.0
35,35,35,Chi trả nợ gốc thuê tài chính,,(624.585.807),-,,,-624585807.0,
36,36,36,"Tiền cổ tức, lợi nhuận đã trả chochủ sở hữu",,(35.572.713.730),(166.922.935.987),,,-35572713730.0,-166922935987.0
40,40,40,Lưu chuyển tiền thuần từ hoạtđộng tài chính,,546.723.284.996,2.471.133.580.079,,,546723284996.0,2471133580079.0
50,50,50,Lưu chuyển tiền thuần trong năm,,30.122.461.986,(503.741.439.611),,,30122461986.0,-503741439611.0
60,60,60,Tiền và tương đương tiền đầu năm 4,Tiền và tương đương tiền đầu năm 4,105.369.786.743,609.411.234.157,,,105369786743.0,609411234157.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hốidoái quy đổi ngoại tệ,,(87.070.282),(300.007.803),,,-87070282.0,-300007803.0
70,70,70,Tiền và tương đương tiền cuối năm 4,Tiền và tương đương tiền cuối năm 4,135.405.178.447,105.369.786.743,,,135405178447.0,105369786743.0
