row_label_raw,row_label_full,col_0,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,
Doanh thu bán điện,Doanh thu > Doanh thu bán điện,Doanh thu bán điện,1.249.420.657.995,1.056.885.008.939,1249420657995.0,1056885008939.0
Doanh thu bán hàng hóa,Doanh thu > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,191.150.859.838,47.679.229.030,191150859838.0,47679229030.0
Doanh thu hợp đồng xây dựng,Doanh thu > Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,22.816.106.661,29.084.183.358,22816106661.0,29084183358.0
Doanh thu cung cấp dịch vụ,Doanh thu > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,31.135.057.297,25.725.857.625,31135057297.0,25725857625.0
,,,1.494.522.681.791,1.159.374.278.952,1494522681791.0,1159374278952.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,(1.199.328.000),-,-1199328000.0,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,
Doanh thu bán điện,Doanh thu thuần > Doanh thu bán điện,Doanh thu bán điện,1.249.420.657.995,1.056.885.008.939,1249420657995.0,1056885008939.0
Doanh thu bán hàng hóa,Doanh thu thuần > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,189.951.531.838,47.679.229.030,189951531838.0,47679229030.0
Doanh thu hợp đồng xây dựng,Doanh thu thuần > Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,22.816.106.661,29.084.183.358,22816106661.0,29084183358.0
Doanh thu cung cấp dịch vụ,Doanh thu thuần > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,31.135.057.297,25.725.857.625,31135057297.0,25725857625.0
,,,1.493.323.353.791,1.159.374.278.952,1493323353791.0,1159374278952.0
