row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm (Thuyết minh 26) > Sử dụng trong năm,Năm nay VND > 31.566.321.809 > 22.544.831.218 > (18.295.140.292),Năm trước VND > 20.790.093.500 > 24.613.836.804 > (13.837.608.495),numeric__Năm nay VND > 31.566.321.809 > 22.544.831.218 > (18.295.140.292),numeric__Năm trước VND > 20.790.093.500 > 24.613.836.804 > (13.837.608.495)
Giảm do bán công ty con,Giảm do bán công ty con,Giảm do bán công ty con,(102.184.421),-,-102184421.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,35.713.828.314,31.566.321.809,35713828314.0,31566321809.0
