row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư và phát triển VND,LNST chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư và phát triển VND,numeric__LNST chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,1.941.825.500.000,28.963.735.153,60.968.109.047,145.084.524.459,231.093.442.173,2.407.935.310.832,1941825500000.0,28963735153.0,60968109047.0,145084524459.0,231093442173.0,2407935310832.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,97.091.270.000,9.709.127.000,-,-,-,106.800.397.000,97091270000.0,9709127000.0,,,,106800397000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,250.999.983.798,39.515.763.599,290.515.747.397,,,,250999983798.0,39515763599.0,290515747397.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,17.844.760.004,(17.844.760.004),-,-,,,17844760004.0,-17844760004.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(22.148.752.669),(2.465.084.135),(24.613.836.804),,,,-22148752669.0,-2465084135.0,-24613836804.0
Thay đổi tỉ lệ sở hữu trong công ty con,Thay đổi tỉ lệ sở hữu trong công ty con,Thay đổi tỉ lệ sở hữu trong công ty con,-,-,-,(55.412.725.957),(79.263.274.042),(134.675.999.999),,,,-55412725957.0,-79263274042.0,-134675999999.0
Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,-,-,20.321.039.737,20.321.039.737,,,,,20321039737.0,20321039737.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(135.927.785.000),(34.806.544.000),(170.734.329.000),,,,-135927785000.0,-34806544000.0,-170734329000.0
Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,-,-,-,-,84.080.000.000,84.080.000.000,,,,,84080000000.0,84080000000.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,2.038.916.770.000,38.672.862.153,78.812.869.051,164.750.484.627,258.475.343.332,2.579.628.329.163,2038916770000.0,38672862153.0,78812869051.0,164750484627.0,258475343332.0,2579628329163.0
Phát hành cổ phiếu (Thuyết minh 25(c)),Phát hành cổ phiếu (Thuyết minh 25(c)),Phát hành cổ phiếu (Thuyết minh 25(c)),509.729.190.000,(466.600.000),-,-,-,509.262.590.000,509729190000.0,-466600000.0,,,,509262590000.0
Chia cổ tức bằng cổ phiếu (Thuyết minh 25(c)),Chia cổ tức bằng cổ phiếu (Thuyết minh 25(c)),Chia cổ tức bằng cổ phiếu (Thuyết minh 25(c)),163.105.920.000,-,-,(163.105.920.000),-,-,163105920000.0,,,-163105920000.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,257.355.412.178,37.607.443.073,294.962.855.251,,,,257355412178.0,37607443073.0,294962855251.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,8.556.036.633,(8.556.036.633),-,-,,,8556036633.0,-8556036633.0,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 22)",-,-,-,(20.619.983.549),(1.924.847.669),(22.544.831.218),,,,-20619983549.0,-1924847669.0,-22544831218.0
Thay đổi tỉ lệ sở hữu trong công ty con,Thay đổi tỉ lệ sở hữu trong công ty con,Thay đổi tỉ lệ sở hữu trong công ty con,-,-,-,(9.897.055.809),(10.051.829.435),(19.948.885.244),,,,-9897055809.0,-10051829435.0,-19948885244.0
Tăng do hợp nhất kinh doanh (Thuyết minh 3),Tăng do hợp nhất kinh doanh (Thuyết minh 3),Tăng do hợp nhất kinh doanh (Thuyết minh 3),-,-,-,-,1.700.000.000,1.700.000.000,,,,,1700000000.0,1700000000.0
Giảm do bán công ty con,Giảm do bán công ty con,Giảm do bán công ty con,-,-,(50.202.779),50.202.779,(3.051.090.277),(3.051.090.277),,,-50202779.0,50202779.0,-3051090277.0,-3051090277.0
Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,-,-,-,-,164.077.800.000,164.077.800.000,,,,,164077800000.0,164077800000.0
Chỉ cổ tức,Chỉ cổ tức,Chỉ cổ tức,-,-,-,-,(36.170.989.400),(36.170.989.400),,,,,-36170989400.0,-36170989400.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,2.711.751.880.000,38.206.262.153,87.318.702.905,219.977.103.593,410.661.829.624,3.467.915.778.275,2711751880000.0,38206262153.0,87318702905.0,219977103593.0,410661829624.0,3467915778275.0
