row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Tỷ lệsở hữu(%),Giế gốcđầu tưVND,Tỷ lệsở hữu(%)_1,Giế gốcđầu tưVND_1,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệsở hữu(%),numeric__Giế gốcđầu tưVND,numeric__Tỷ lệsở hữu(%)_1,numeric__Giế gốcđầu tưVND_1
Công ty Cổ phần Dịch vụ Du lịch Phú Thọ (*),Công ty Cổ phần Dịch vụ Du lịch Phú Thọ (*),Công ty Cổ phần Dịch vụ Du lịch Phú Thọ (*),Kinh doanh dịch vụ du lịch,"34,96%",555.646.862.340,"34,96%",558.480.840.895,,0.3496,555646862340.0,0.3496,558480840895.0
Công ty Cổ phần Đầu tư và Phát triểnHạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triểnHạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triểnHạ tầng An Việt,Phát triển hạ tầng,"45,00%",153.727.893.041,"45,00%",153.596.834.708,,0.45,153727893041.0,0.45,153596834708.0
Công ty Cổ phần Vật liệu điện và Viễn thôngSam Cường,Công ty Cổ phần Vật liệu điện và Viễn thôngSam Cường,Công ty Cổ phần Vật liệu điện và Viễn thôngSam Cường,"Sản xuất thiết bị,vật liệu điện, viễn thông","24,95%",25.481.713.505,"24,95%",28.871.984.374,,0.2495,25481713505.0,0.2495,28871984374.0
Công ty Cổ phần Capella Việt Nam,Công ty Cổ phần Capella Việt Nam,Công ty Cổ phần Capella Việt Nam,Tổ chức sự kiện và quảng cáo,"31,48%",3.262.837.239,"31,48%",2.879.407.358,,0.3148,3262837239.0,0.3148,2879407358.0
TỔNG CÔNG,TỔNG CÔNG,TỔNG CÔNG,,,738.119.306.125,,743.829.067.335,,,738119306125.0,,743829067335.0
