row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,Khác,Tổng công,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Khác,numeric__Tổng công
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,762.978.519.391,480.733.697.404,54.661.706.219,4.818.577.136,569.741.220,1.303.762.241.370,762978519391.0,480733697404.0,54661706219.0,4818577136.0,569741220.0,1303762241370.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,191.725.338,6.081.645.749,4.244.757.544,49.000.000,-,10.567.128.631,191725338.0,6081645749.0,4244757544.0,49000000.0,,10567128631.0
Phân loại lại,Nguyên giá: > Phân loại lại,Phân loại lại,613.636.364,-,-,-,-,613.636.364,613636364.0,,,,,613636364.0
Kết chuyển từxây dựng cơ bản dở dang,Nguyên giá: > Kết chuyển từxây dựng cơ bản dở dang,Kết chuyển từxây dựng cơ bản dở dang,129.545.454,-,-,-,-,129.545.454,129545454.0,,,,,129545454.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(1.723.872.707),(54.921.540.548),(1.140.825.363),(214.750.000),-,(58.000.988.618),-1723872707.0,-54921540548.0,-1140825363.0,-214750000.0,,-58000988618.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,762.189.553.840,431.893.802.605,57.765.638.400,4.652.827.136,569.741.220,1.257.071.563.201,762189553840.0,431893802605.0,57765638400.0,4652827136.0,569741220.0,1257071563201.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,31.262.299.189,282.622.215.324,9.055.295.169,2.555.584.256,-,325.495.393.938,31262299189.0,282622215324.0,9055295169.0,2555584256.0,,325495393938.0
Giá trị khấu hao lũy kê:,Giá trị khấu hao lũy kê:,Giá trị khấu hao lũy kê:,Giá trị khấu hao lũy kê:,Giá trị khấu hao lũy kê:,Giá trị khấu hao lũy kê:,Giá trị khấu hao lũy kê:,Giá trị khấu hao lũy kê:,Giá trị khấu hao lũy kê:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kê: > Số đầu năm,Số đầu năm,(106.029.158.582),(392.779.456.557),(31.929.071.171),(2.872.448.435),(50.643.915),(533.660.778.660),-106029158582.0,-392779456557.0,-31929071171.0,-2872448435.0,-50643915.0,-533660778660.0
Khấu hao trong năm,Giá trị khấu hao lũy kê: > Khấu hao trong năm,Khấu hao trong năm,(22.271.293.139),(23.784.392.571),(5.574.107.844),(318.268.370),(111.234.204),(52.059.296.128),-22271293139.0,-23784392571.0,-5574107844.0,-318268370.0,-111234204.0,-52059296128.0
Thanh lý,Giá trị khấu hao lũy kê: > Thanh lý,Thanh lý,1.484.836.188,54.921.540.548,1.140.825.363,178.825.000,-,57.726.027.099,1484836188.0,54921540548.0,1140825363.0,178825000.0,,57726027099.0
Số cuối năm,Giá trị khấu hao lũy kê: > Số cuối năm,Số cuối năm,(126.815.615.533),(361.642.308.580),(36.362.353.652),(3.011.891.805),(161.878.119),(527.994.047.689),-126815615533.0,-361642308580.0,-36362353652.0,-3011891805.0,-161878119.0,-527994047689.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,656.949.360.809,87.954.240.847,22.732.635.048,1.946.128.701,519.097.305,770.101.462.710,656949360809.0,87954240847.0,22732635048.0,1946128701.0,519097305.0,770101462710.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,635.373.938.307,70.251.494.025,21.403.284.748,1.640.935.331,407.863.101,729.077.515.512,635373938307.0,70251494025.0,21403284748.0,1640935331.0,407863101.0,729077515512.0
Trong đó:Tài sản thể chấp(Thuyết minh số 24.4),Giá trị còn lại: > Trong đó:Tài sản thể chấp(Thuyết minh số 24.4),Trong đó:Tài sản thể chấp(Thuyết minh số 24.4),19.378.246.023,3.446.500.915,229.500.000,1.391.831.847,24.416.064,24.470.494.849,19378246023.0,3446500915.0,229500000.0,1391831847.0,24416064.0,24470494849.0
