row_label_raw,row_label_full,col_0,Nhà cửa vàvật kiến trúc,Máy mócvà thiết bị,Quyền sửdụng đất,VNDTổng cộng,numeric__Nhà cửa vàvật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Quyền sửdụng đất,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,140.105.412.263,51.666.356.733,-,191.771.768.996,140105412263.0,51666356733.0,,191771768996.0
Kết chuyển từbắt động sảnđở dang,Nguyên giá: > Kết chuyển từbắt động sảnđở dang,Kết chuyển từbắt động sảnđở dang,-,-,2.099.000.000,2.099.000.000,,,2099000000.0,2099000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,140.105.412.263,51.666.356.733,2.099.000.000,193.870.768.996,140105412263.0,51666356733.0,2099000000.0,193870768996.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(19.648.877.875),(15.975.560.452),-,(35.624.438.327),-19648877875.0,-15975560452.0,,-35624438327.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(3.201.190.633),(2.236.122.275),(34.983.333),(5.472.296.241),-3201190633.0,-2236122275.0,-34983333.0,-5472296241.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(22.850.068.508),(18.211.682.727),(34.983.333),(41.096.734.568),-22850068508.0,-18211682727.0,-34983333.0,-41096734568.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,120.456.534.388,35.690.796.281,-,156.147.330.669,120456534388.0,35690796281.0,,156147330669.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,117.255.343.755,33.454.674.006,2.084.016.667,152.774.034.428,117255343755.0,33454674006.0,2084016667.0,152774034428.0
