row_label_raw,row_label_full,col_0,VNDMáy móc và thiết bị,numeric__VNDMáy móc và thiết bị
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,8.534.855.673,8534855673.0
Thuê trong năm,Nguyên giá: > Thuê trong năm,Thuê trong năm,6.858.723.792,6858723792.0
Mua lại TSCĐ thuê tài chính,Nguyên giá: > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,(4.365.481.749),-4365481749.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,11.028.097.716,11028097716.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(470.074.938),-470074938.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(1.322.331.139),-1322331139.0
Mua lại TSCĐ thuê tài chính,Giá trị khấu hao lũy kế: > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,538.706.617,538706617.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(1.253.699.460),-1253699460.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,8.064.780.735,8064780735.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,9.774.398.256,9774398256.0
