row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế TNDN,Phải thu > Thuế TNDN,Thuế TNDN,404.353.134,1.138.353.324,-,1.542.706.458,404353134.0,1138353324.0,,1542706458.0
Thuế xuất nhập khẩu,Phải thu > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,2.506.460,1.553.705.076,(1.553.745.733),2.465.803,2506460.0,1553705076.0,-1553745733.0,2465803.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,-,2.748.068.188,(2.748.068.188),-,,2748068188.0,-2748068188.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,406.859.594,5.440.126.588,(4.301.813.921),1.545.172.261,406859594.0,5440126588.0,-4301813921.0,1545172261.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế TNDN,Phải nộp > Thuế TNDN,Thuế TNDN,15.693.189.712,35.046.916.568,(35.557.886.745),15.182.219.535,15693189712.0,35046916568.0,-35557886745.0,15182219535.0
Thuế giả trị gia tăng,Phải nộp > Thuế giả trị gia tăng,Thuế giả trị gia tăng,1.300.943.322,216.940.632.169,(217.164.016.740),1.077.558.751,1300943322.0,216940632169.0,-217164016740.0,1077558751.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.141.201.432,9.464.505.061,(8.575.249.293),2.030.457.200,1141201432.0,9464505061.0,-8575249293.0,2030457200.0
Thuế tiêu thụ đặc biệt,Phải nộp > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,354.510.550,4.544.498.721,(4.279.501.692),619.507.579,354510550.0,4544498721.0,-4279501692.0,619507579.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,4.437.682,211.590.777,(183.420.684),32.607.775,4437682.0,211590777.0,-183420684.0,32607775.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,18.494.282.698,266.208.143.296,(265.760.075.154),18.942.350.840,18494282698.0,266208143296.0,-265760075154.0,18942350840.0
