row_label_raw,row_label_full,Tổ chức thu xếp phát hành,Số cuối năm (VND),Kỳ hạn,Mục đích vay,Lãi suất (%/năm),Hình thức đảm bảo,numeric__Số cuối năm (VND),numeric__Kỳ hạn,numeric__Mục đích vay,numeric__Lãi suất (%/năm),numeric__Hình thức đảm bảo
Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,,,,,
Phát hành ngày 25 tháng 4 năm 2019,Công ty Cổ phần Chứng khoán Agribank > Phát hành ngày 25 tháng 4 năm 2019,Phát hành ngày 25 tháng 4 năm 2019,100.000.000.000,1 năm,Bổ sung vốn lưu động,10%,11.800.000 cổ phiếu phổ thông Tổng Công ty Dược Việt Nam – CTCP; và 9.000.000.000 cổ phiếu phổ thông Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,100000000000.0,,,0.1,
24.3 Vay ngắn hạn từ cá nhân,24.3 Vay ngắn hạn từ cá nhân,24.3 Vay ngắn hạn từ cá nhân,24.3 Vay ngắn hạn từ cá nhân,24.3 Vay ngắn hạn từ cá nhân,24.3 Vay ngắn hạn từ cá nhân,24.3 Vay ngắn hạn từ cá nhân,24.3 Vay ngắn hạn từ cá nhân,,,,,
Chỉ tiết khoản vay ngắn hạn từ cả nhân được trình bày như sau:,Chỉ tiết khoản vay ngắn hạn từ cả nhân được trình bày như sau:,Chỉ tiết khoản vay ngắn hạn từ cả nhân được trình bày như sau:,Chỉ tiết khoản vay ngắn hạn từ cả nhân được trình bày như sau:,Chỉ tiết khoản vay ngắn hạn từ cả nhân được trình bày như sau:,Chỉ tiết khoản vay ngắn hạn từ cả nhân được trình bày như sau:,Chỉ tiết khoản vay ngắn hạn từ cả nhân được trình bày như sau:,Chỉ tiết khoản vay ngắn hạn từ cả nhân được trình bày như sau:,,,,,
Bên cho vay,Bên cho vay,Bên cho vay,Số cuối năm (VND),Kỳ hạn trả gốc,Mục đích vay,Lãi suất (%/năm),Hình thức đảm bảo,,,,,
Ông Trần Văn Hải,Bên cho vay > Ông Trần Văn Hải,Ông Trần Văn Hải,20.000.000.000,Từ ngày 27 tháng 8 năm 2020 đến ngày 18 tháng 12 năm 2020,Đầu tư xây dựng dự án và tài sản,"11,95%",Tin chấp,20000000000.0,,,0.1195,
