row_label_raw,row_label_full,Bên cho vay > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh > Khoản vay 1 > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Sài Gòn > Khoản vay 1 > Khoản vay 2,Số cuối năm > (VND) > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh > 85.245.212.247 > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Sài Gòn > 71.389.698.434 > 22.857.855.079,Số cuối năm > Nguyên tệ(USD) > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh > - > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Sài Gòn > 3.073.565 > -,Kỳ hạn trả gốc > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh > Từ ngày 12 tháng 1 năm 2020đến ngày 23 tháng 6 năm 2020 > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Sài Gòn > Từ ngày 1 tháng 1 năm 2020đến ngày 24 tháng 6 năm 2020 > Từ ngày 5 tháng 1 năm 2020đến ngày 20 tháng 3 năm 2020,Mục đích vay > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh > Bổ sung vốn lưu động > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Sài Gòn > Bổ sung vốn lưu động,"Lãi suất(%/năm) > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh > 5,9% - 6,1% > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Sài Gòn > 3,3% - 3,7% > 6,5%",Hình thức đãm bảo > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh > Tín chấp > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Sài Gòn > Tín chấp,numeric__Số cuối năm > (VND) > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh > 85.245.212.247 > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Sài Gòn > 71.389.698.434 > 22.857.855.079,numeric__Số cuối năm > Nguyên tệ(USD) > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh > - > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Sài Gòn > 3.073.565 > -,numeric__Kỳ hạn trả gốc > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh > Từ ngày 12 tháng 1 năm 2020đến ngày 23 tháng 6 năm 2020 > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Sài Gòn > Từ ngày 1 tháng 1 năm 2020đến ngày 24 tháng 6 năm 2020 > Từ ngày 5 tháng 1 năm 2020đến ngày 20 tháng 3 năm 2020,numeric__Mục đích vay > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh > Bổ sung vốn lưu động > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Sài Gòn > Bổ sung vốn lưu động,"numeric__Lãi suất(%/năm) > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh > 5,9% - 6,1% > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Sài Gòn > 3,3% - 3,7% > 6,5%",numeric__Hình thức đãm bảo > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh > Tín chấp > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Sài Gòn > Tín chấp
Ngân hàng TNHH United Overseas (UOB),Ngân hàng TNHH United Overseas (UOB),Ngân hàng TNHH United Overseas (UOB),Ngân hàng TNHH United Overseas (UOB),Ngân hàng TNHH United Overseas (UOB),Ngân hàng TNHH United Overseas (UOB),Ngân hàng TNHH United Overseas (UOB),Ngân hàng TNHH United Overseas (UOB),Ngân hàng TNHH United Overseas (UOB),,,,,,
Khoản vay 1,Ngân hàng TNHH United Overseas (UOB) > Khoản vay 1,Khoản vay 1,68.309.703.000,-,Ngày 20 tháng 3 năm 2020,Bổ sung vốn lưu động,6%,Tín chấp,68309703000.0,,,,0.06,
Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh Tp. Hồ Chí Minh,Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh Tp. Hồ Chí Minh,Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh Tp. Hồ Chí Minh,Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh Tp. Hồ Chí Minh,Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh Tp. Hồ Chí Minh,Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh Tp. Hồ Chí Minh,Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh Tp. Hồ Chí Minh,Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh Tp. Hồ Chí Minh,Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh Tp. Hồ Chí Minh,,,,,,
Khoản vay 1,Ngân hàng TNHH MTV Standard Chartered (Việt Nam) - Chi nhánh Tp. Hồ Chí Minh > Khoản vay 1,Khoản vay 1,55.303.267.923,-,Từ ngày 6 tháng 1 năm 2020đến ngày 29 tháng 4 năm 2020,Bổ sung vốn lưu động,"6,3% - 6,92%",Tín chấp,55303267923.0,,,,,
Ngân hàng TNHH MTV HSBC - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV HSBC - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV HSBC - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV HSBC - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV HSBC - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV HSBC - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV HSBC - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV HSBC - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV HSBC - Chi nhánh Thành phố Hồ Chí Minh,,,,,,
Khoản vay 1,Ngân hàng TNHH MTV HSBC - Chi nhánh Thành phố Hồ Chí Minh > Khoản vay 1,Khoản vay 1,46.021.261.952,-,Từ ngày 31 tháng 1 năm 2020đến ngày 11 tháng 5 năm 2020,Bổ sung vốn lưu động,"5,9% - 6%",Tín chấp,46021261952.0,,,,,
