row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Hàng hóa bất động sản,Hàng hóa bất động sản,Hàng hóa bất động sản,292.523.510.086,265.466.432.910,292523510086.0,265466432910.0
Bất động sản dở dang,Bất động sản dở dang,Bất động sản dở dang,259.287.759.835,217.414.395.811,259287759835.0,217414395811.0
- Dự án Chung cư Samland Riverside,- Dự án Chung cư Samland Riverside,- Dự án Chung cư Samland Riverside,119.588.954.281,114.562.276.441,119588954281.0,114562276441.0
- Dự án Khu dân cư Nhon Trạch,- Dự án Khu dân cư Nhon Trạch,- Dự án Khu dân cư Nhon Trạch,115.134.387.818,90.542.932.810,115134387818.0,90542932810.0
- Dự án Chung cư Samsora Riverside,- Dự án Chung cư Samsora Riverside,- Dự án Chung cư Samsora Riverside,19.265.407.814,7.010.176.638,19265407814.0,7010176638.0
- Dự án Chung cư Samland Airport,- Dự án Chung cư Samland Airport,- Dự án Chung cư Samland Airport,5.299.009.922,5.299.009.922,5299009922.0,5299009922.0
Hàng hóa bất động sản,Hàng hóa bất động sản,Hàng hóa bất động sản,33.235.750.251,48.052.037.099,33235750251.0,48052037099.0
- Dự án Căn hồ Giai Việt,- Dự án Căn hồ Giai Việt,- Dự án Căn hồ Giai Việt,33.235.750.251,48.052.037.099,33235750251.0,48052037099.0
Hàng tồn kho khác,Hàng tồn kho khác,Hàng tồn kho khác,514.367.789.636,607.972.036.262,514367789636.0,607972036262.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,277.600.658.408,385.733.741.335,277600658408.0,385733741335.0
Thành phẩm,Thành phẩm,Thành phẩm,111.798.153.526,156.805.282.596,111798153526.0,156805282596.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,58.252.221.506,38.194.350.308,58252221506.0,38194350308.0
Hàng hóa,Hàng hóa,Hàng hóa,35.360.581.103,2.359.406.105,35360581103.0,2359406105.0
Hàng đang đi trên đường,Hàng đang đi trên đường,Hàng đang đi trên đường,27.330.132.726,18.562.174.298,27330132726.0,18562174298.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",4.026.042.367,6.317.081.620,4026042367.0,6317081620.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,806.891.299.722,873.438.469.172,806891299722.0,873438469172.0
Dự phòng giảm giả hàng tồn kho,Dự phòng giảm giả hàng tồn kho,Dự phòng giảm giả hàng tồn kho,(996.658.758),(354.467.309),-996658758.0,-354467309.0
GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,GIÁ TRỊ THUẢN,805.894.640.964,873.084.001.863,805894640964.0,873084001863.0
