row_label_raw,row_label_full,Bên cho vay,Số cuối năm > (VND),Số cuối năm > Nguyễn tệ(USD),Kỳ hạn trả gốc,Mục đích vay,Lãi suất(%/năm),Hình thức đảm bảo,numeric__Số cuối năm > (VND),numeric__Số cuối năm > Nguyễn tệ(USD),numeric__Kỳ hạn trả gốc,numeric__Mục đích vay,numeric__Lãi suất(%/năm),numeric__Hình thức đảm bảo
Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh,,,,,,
Khoản vay 1,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh > Khoản vay 1,Khoản vay 1,23.158.283.559,-,Từ ngày 1 tháng 1 năm 2020đến ngày 17 tháng 6 năm 2020,Bổ sungvốn lưu động,"5,9%",Tín chấp,23158283559.0,,,,0.059000000000000004,
Khoản vay 2,Ngân hàng Sinopac - Chi nhánh Thành phố Hồ Chí Minh > Khoản vay 2,Khoản vay 2,13.355.009.465,574.904,Từ ngày 1 tháng 1 năm 2020đến ngày 16 tháng 6 năm 2020,Bổ sungvốn lưu động,"3,15% - 3,55%",Tín chấp,13355009465.0,574904.0,,,,
Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Thái Hà,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Thái Hà,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Thái Hà,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Thái Hà,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Thái Hà,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Thái Hà,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Thái Hà,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Thái Hà,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Thái Hà,,,,,,
Khoản vay 1,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Thái Hà > Khoản vay 1,Khoản vay 1,1.573.029.250,67.730,Ngày 23 tháng 1 năm 2020,Bổ sungvốn lưu động,"5,2%",Chứng chỉ tiền gửi giả trị2.000.000.000 VND,1573029250.0,67730.0,,,0.052000000000000005,
Khoản vay 2,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Thái Hà > Khoản vay 2,Khoản vay 2,351.162.000,15.120,Ngày 7 tháng 1 năm 2020,Bổ sungvốn lưu động,"5,2%",Chứng chỉ tiền gửi giả trị2.200.000.000 VND,351162000.0,15120.0,,,0.052000000000000005,
TỔNG CỘNG,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng – Chi nhánh Thái Hà > TỔNG CỘNG,TỔNG CỘNG,387.564.482.909,,,,,,387564482909.0,,,,,
