row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,43.484.939.916,4.133.909.200,697.830.000,48.316.679.116,43484939916.0,4133909200.0,697830000.0,48316679116.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,1.014.223.233,-,1.014.223.233,,1014223233.0,,1014223233.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,43.484.939.916,5.148.132.433,697.830.000,49.330.902.349,43484939916.0,5148132433.0,697830000.0,49330902349.0
Trong đó:Đã hao món hết,Nguyên giá: > Trong đó:Đã hao món hết,Trong đó:Đã hao món hết,-,2.255.131.200,-,2.255.131.200,,2255131200.0,,2255131200.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(8.835.202.357),(2.553.332.614),(465.220.004),(11.853.754.975),-8835202357.0,-2553332614.0,-465220004.0,-11853754975.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(1.001.091.078),(618.226.906),(232.609.996),(1.851.927.980),-1001091078.0,-618226906.0,-232609996.0,-1851927980.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(9.836.293.435),(3.171.559.520),(697.830.000),(13.705.682.955),-9836293435.0,-3171559520.0,-697830000.0,-13705682955.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,34.649.737.559,1.580.576.586,232.609.996,36.462.924.141,34649737559.0,1580576586.0,232609996.0,36462924141.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,33.648.646.481,1.976.572.913,-,35.625.219.394,33648646481.0,1976572913.0,,35625219394.0
