row_label_raw,row_label_full,col_0,Vốn cổ phần,Vốn khác củachủ sở hữu,Quỹ đầu tưphát triển,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Vốn khác củachủ sở hữu,numeric__Quỹ đầu tưphát triển,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,2.417.857.030.000,-,8.999.152.874,93.759.294.157,2.520.615.477.031,2417857030000.0,,8999152874.0,93759294157.0,2520615477031.0
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,72.505.600.000,-,-,(72.505.600.000),-,72505600000.0,,,-72505600000.0,
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,99.106.482.347,99.106.482.347,,,,99106482347.0,99106482347.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(3.464.276.718),(3.464.276.718),,,,-3464276718.0,-3464276718.0
Giảm do thay đổi quyềnsở hữu trong các công ty con,Năm trước > Giảm do thay đổi quyềnsở hữu trong các công ty con,Giảm do thay đổi quyềnsở hữu trong các công ty con,-,-,-,(135.072.999),(135.072.999),,,,-135072999.0,-135072999.0
Khác,Năm trước > Khác,Khác,-,-,(21.793.125),-,(21.793.125),,,-21793125.0,,-21793125.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,2.490.362.630.000,-,8.977.359.749,116.760.826.787,2.616.100.816.536,2490362630000.0,,8977359749.0,116760826787.0,2616100816536.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,2.490.362.630.000,-,8.977.359.749,116.760.826.787,2.616.100.816.536,2490362630000.0,,8977359749.0,116760826787.0,2616100816536.0
Cổ tức bằng cổ phiếu (*),Năm nay > Cổ tức bằng cổ phiếu (*),Cổ tức bằng cổ phiếu (*),74.682.770.000,15.081.857.924,-,(89.764.627.924),-,74682770000.0,15081857924.0,,-89764627924.0,
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,80.031.076.290,80.031.076.290,,,,80031076290.0,80031076290.0
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(6.117.819.167),(6.117.819.167),,,,-6117819167.0,-6117819167.0
Trích quỹ đầu tư phát triển,Năm nay > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,3.079.577.956,(3.079.577.956),-,,,3079577956.0,-3079577956.0,
Giảm do thay đổi quyền sở hừptrong các công ty con,Năm nay > Giảm do thay đổi quyền sở hừptrong các công ty con,Giảm do thay đổi quyền sở hừptrong các công ty con,-,-,-,(834.742.840),(834.742.840),,,,-834742840.0,-834742840.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,2.565.045.400.000,15.081.857.924,12.056.937.705,96.995.135.190,2.689.179.330.819,2565045400000.0,15081857924.0,12056937705.0,96995135190.0,2689179330819.0
