row_label_raw,row_label_full,col_0,Cáp và vật liệuviễn thông,Xây dựng và kinh doanhbát động sản,Đầu tư tài chính vàlĩnh vực khác,VNDTổng cộng,numeric__Cáp và vật liệuviễn thông,numeric__Xây dựng và kinh doanhbát động sản,numeric__Đầu tư tài chính vàlĩnh vực khác,numeric__VNDTổng cộng
Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018,,,,
Doanh thu thuầnDoanh thu từ bán hàng ra bên ngoài,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018 > Doanh thu thuầnDoanh thu từ bán hàng ra bên ngoài,Doanh thu thuầnDoanh thu từ bán hàng ra bên ngoài,1.900.769.607.987,697.834.687.968,71.124.516.020,2.669.728.811.975,1900769607987.0,697834687968.0,71124516020.0,2669728811975.0
Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổPhần lợi nhuận từ công ty liên kếtDoanh thu tài chínhChi phí tài chínhLỗ khác,Cho năm tài chính kết thúc cùng ngày 31 tháng 12 năm 2018 > Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổPhần lợi nhuận từ công ty liên kếtDoanh thu tài chínhChi phí tài chínhLỗ khác,Kết quả hoạt động kinh doanhLợi nhuận gộp của bộ phậnChi phí không phân bổPhần lợi nhuận từ công ty liên kếtDoanh thu tài chínhChi phí tài chínhLỗ khác,159.991.580.276,240.649.891.054,6.163.470.106,406.804.941.436(191.131.225.199)20.339.587.391155.119.005.250(224.660.986.336)(1.350.001.812),159991580276.0,240649891054.0,6163470106.0,
Lợi nhuận thuần trước thuếChỉ phí thuế TNDNChi phí thuế TNDN hoãn lại,Lợi nhuận thuần trước thuếChỉ phí thuế TNDNChi phí thuế TNDN hoãn lại,Lợi nhuận thuần trước thuếChỉ phí thuế TNDNChi phí thuế TNDN hoãn lại,,,,165.121.320.730(43.220.410.304)(6.937.521.190),,,,
Lợi nhuận sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận thuần trước thuếChỉ phí thuế TNDNChi phí thuế TNDN hoãn lại > Lợi nhuận sau thuếLợi ích cổ đông không kiểm soát,Lợi nhuận sau thuếLợi ích cổ đông không kiểm soát,,,,114.963.389.23615.856.906.889,,,,1.1496338923615857e+22
Lợi nhuận sau thuế công ty mẹVào ngày 31 tháng 12 năm 2018,Lợi nhuận thuần trước thuếChỉ phí thuế TNDNChi phí thuế TNDN hoãn lại > Lợi nhuận sau thuế công ty mẹVào ngày 31 tháng 12 năm 2018,Lợi nhuận sau thuế công ty mẹVào ngày 31 tháng 12 năm 2018,,,,99.106.482.347,,,,99106482347.0
Tài sản và công nợTài sản bộ phậnTài sản không phân bổ,Lợi nhuận thuần trước thuếChỉ phí thuế TNDNChi phí thuế TNDN hoãn lại > Tài sản và công nợTài sản bộ phậnTài sản không phân bổ,Tài sản và công nợTài sản bộ phậnTài sản không phân bổ,1.406.772.158.318,1.471.715.843.797,2.030.339.541.498,4.908.827.543.613146.922.099.231,1406772158318.0,1471715843797.0,2030339541498.0,4.908827543613147e+24
Tổng tài sản,Lợi nhuận thuần trước thuếChỉ phí thuế TNDNChi phí thuế TNDN hoãn lại > Tổng tài sản,Tổng tài sản,,,,5.055.749.642.844,,,,5055749642844.0
Công nợ bộ phậnCông nợ không phân bổ,Lợi nhuận thuần trước thuếChỉ phí thuế TNDNChi phí thuế TNDN hoãn lại > Công nợ bộ phậnCông nợ không phân bổ,Công nợ bộ phậnCông nợ không phân bổ,954.620.178.634,497.758.033.792,718.778.144.332,2.171.156.356.75863.614.810.774,954620178634.0,497758033792.0,718778144332.0,2.171156356758636e+23
Tổng công nợ,Lợi nhuận thuần trước thuếChỉ phí thuế TNDNChi phí thuế TNDN hoãn lại > Tổng công nợ,Tổng công nợ,,,,2.234.771.167.532,,,,2234771167532.0
