row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm > VND,Số phải nộp/bù trừ trong năm > VND,Số đã thực nộp trong năm > VND,Số cuối năm > VND,numeric__Số đầu năm > VND,numeric__Số phải nộp/bù trừ trong năm > VND,numeric__Số đã thực nộp trong năm > VND,numeric__Số cuối năm > VND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế giả trị gia tăng,a. Các khoản phải thu > Thuế giả trị gia tăng,Thuế giả trị gia tăng,175.866.431,175.866.431,-,-,175866431.0,175866431.0,,
- Thuế GTGT đầu ra,a. Các khoản phải thu > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,175.866.431,175.866.431,-,-,175866431.0,175866431.0,,
"Thuế xuất, nhập khẩu","a. Các khoản phải thu > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",17.528.596.489,105.318.864.515,88.455.362.283,665.094.257,17528596489.0,105318864515.0,88455362283.0,665094257.0
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,39.398.189.398,36.244.593.187,-,3.153.596.211,39398189398.0,36244593187.0,,3153596211.0
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,236.908.054,12.524.811,-,224.383.243,236908054.0,12524811.0,,224383243.0
Thuế nhà thầu,a. Các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,2.095.094.815,58.153.342.552,58.170.974.041,2.112.726.304,2095094815.0,58153342552.0,58170974041.0,2112726304.0
- Thuế GTGT nộp thay nhà thầu,a. Các khoản phải thu > - Thuế GTGT nộp thay nhà thầu,- Thuế GTGT nộp thay nhà thầu,2.095.094.815,32.023.277.683,32.023.277.683,2.095.094.815,2095094815.0,32023277683.0,32023277683.0,2095094815.0
- Thuế TNDN nộp thay nhà thầu,a. Các khoản phải thu > - Thuế TNDN nộp thay nhà thầu,- Thuế TNDN nộp thay nhà thầu,-,26.130.064.869,26.147.696.358,17.631.489,,26130064869.0,26147696358.0,17631489.0
Tiền thuế đất,a. Các khoản phải thu > Tiền thuế đất,Tiền thuế đất,-,391.779.592,420.562.692,28.783.100,,391779592.0,420562692.0,28783100.0
,,,59.434.655.187,200.296.971.088,147.046.899.016,6.184.583.115,59434655187.0,200296971088.0,147046899016.0,6184583115.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giả trị gia tăng,b. Các khoản phải trả > Thuế giả trị gia tăng,Thuế giả trị gia tăng,358.244.408.972,5.444.333.922.328,5.123.587.865.888,678.990.465.412,358244408972.0,5444333922328.0,5123587865888.0,678990465412.0
- Thuế GTGT đầu ra,b. Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,358.244.408.972,4.222.419.163.791,3.901.683.784.171,678.979.788.592,358244408972.0,4222419163791.0,3901683784171.0,678979788592.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,1.221.914.758.537,1.221.904.081.717,10.676.820,,1221914758537.0,1221904081717.0,10676820.0
Thuế tiêu thụ đặc biệt,b. Các khoản phải trả > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,410.182.624.354,4.368.705.672.651,4.208.554.142.857,570.334.154.148,410182624354.0,4368705672651.0,4208554142857.0,570334154148.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,141.025.586.542,84.201.965.721,56.823.620.821,,141025586542.0,84201965721.0,56823620821.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.950.899.845,48.209.806.576,46.125.708.039,4.034.998.382,1950899845.0,48209806576.0,46125708039.0,4034998382.0
Thuế nhà thầu,b. Các khoản phải trả > Thuế nhà thầu,Thuế nhà thầu,1.917.717.917,-,1.917.717.917,-,1917717917.0,,1917717917.0,
- Thuế TNDN nộp thay nhà thầu,b. Các khoản phải trả > - Thuế TNDN nộp thay nhà thầu,- Thuế TNDN nộp thay nhà thầu,1.917.717.917,-,1.917.717.917,-,1917717917.0,,1917717917.0,
Thuế nhà đất,b. Các khoản phải trả > Thuế nhà đất,Thuế nhà đất,697.818.500,(470.480.104),227.338.396,-,697818500.0,-470480104.0,227338396.0,
Thuế món bài,b. Các khoản phải trả > Thuế món bài,Thuế món bài,-,10.000.000,10.000.000,-,,10000000.0,10000000.0,
Các loại thuê khác,b. Các khoản phải trả > Các loại thuê khác,Các loại thuê khác,6.634.297.028,119.354.314.856,112.062.969.884,13.925.642.000,6634297028.0,119354314856.0,112062969884.0,13925642000.0
"Các khoản phi, lệ phi","b. Các khoản phải trả > Các khoản phi, lệ phi","Các khoản phi, lệ phi",75.509.658,-,-,75.509.658,75509658.0,,,75509658.0
,,,779.703.276.274,10.121.168.822.849,9.576.687.708.702,1.324.184.390.421,779703276274.0,10121168822849.0,9576687708702.0,1324184390421.0
