row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm/kỳ,Năm nayVND > 389.424.547.940,Kỳ trướcVND > 168.627.162.125,numeric__Năm nayVND > 389.424.547.940,numeric__Kỳ trướcVND > 168.627.162.125
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,150.918.034.220,68.585.023.011,150918034220.0,68585023011.0
Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,Chi phí vật liệu quản lý,2.441.767.786,1.150.164.957,2441767786.0,1150164957.0
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,4.886.254.999,1.264.154.353,4886254999.0,1264154353.0
Chi phí khấu hao tài sản cổ định,Chi phí khấu hao tài sản cổ định,Chi phí khấu hao tài sản cổ định,33.539.369.177,18.158.810.564,33539369177.0,18158810564.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,60.366.455.797,27.858.846.516,60366455797.0,27858846516.0
Chi phí khác bằng tiễn,Chi phí khác bằng tiễn,Chi phí khác bằng tiễn,137.272.665.961,51.610.162.724,137272665961.0,51610162724.0
