row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Kỳ trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Kỳ trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,24,102.823.756.014.297,56.058.842.429.120,,1.0,24.0,102823756014297.0,56058842429120.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,24,3.369.000,-,,2.0,24.0,3369000.0,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,24,102.823.752.645.297,56.058.842.429.120,,10.0,24.0,102823752645297.0,56058842429120.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,25,98.850.991.293.829,55.111.289.678.611,,11.0,25.0,98850991293829.0,55111289678611.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,3.972.761.351.468,947.552.750.509,,20.0,,3972761351468.0,947552750509.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,27,536.775.450.247,335.764.591.549,,21.0,27.0,536775450247.0,335764591549.0
7.,7.,7.,Chỉ phí tải chính,22,28,416.118.869.286,494.697.028.827,,22.0,28.0,416118869286.0,494697028827.0
,,,- Trong đó: Chỉ phí lãi vay,23,,359.859.613.027,218.962.701.239,,23.0,,359859613027.0,218962701239.0
8.,8.,8.,Chỉ phí bán hàng,25,29,714.115.014.949,374.634.440.194,,25.0,29.0,714115014949.0,374634440194.0
9.,9.,9.,Chỉ phí quản lý doanh nghiệp,26,29,389.424.547.940,168.627.162.125,,26.0,29.0,389424547940.0,168627162125.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,2.989.878.369.540,245.358.710.912,,30.0,,2989878369540.0,245358710912.0
11.,11.,11.,Thu nhập khác,31,30,68.881.593.622,10.435.721.466,,31.0,30.0,68881593622.0,10435721466.0
12.,12.,12.,Chỉ phí khác,32,31,4.365.721.492,2.369.841.584,,32.0,31.0,4365721492.0,2369841584.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,,64.515.872.130,8.065.879.882,,40.0,,64515872130.0,8065879882.0
14.,14.,14.,Tổng lợi nhuận kể toán trước thuế (50=30+40),50,,3.054.394.241.670,253.424.590.794,,50.0,,3054394241670.0,253424590794.0
15.,15.,15.,Chỉ phí thuế thu nhập doanh nghiệp hiện hành,51,32,177.270.179.729,24.811.999.472,,51.0,32.0,177270179729.0,24811999472.0
16.,16.,16.,Chỉ phí thuế thu nhập doanh nghiệp hoãn lại,52,,4.126.651.594,2.473.429.601,,52.0,,4126651594.0,2473429601.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52)Trong đó:,60,,2.872.997.410.347,226.139.161.721,,60.0,,2872997410347.0,226139161721.0
17.1.,17.1.,17.1.,Lợi nhuận sau thuế của cổ đông của Cống ty mẹ,61,,2.913.820.263.418,250.790.073.767,,61.0,,2913820263418.0,250790073767.0
17.2.,17.2.,17.2.,Lỗ sau thuế của cổ đông không kiểm soát,62,,(40.822.853.071),(24.650.912.046),,62.0,,-40822853071.0,-24650912046.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,33,898,60,,70.0,33.0,898.0,60.0
