row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,,,,
Công ty Liên doanh điều hành Cửu Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Liên doanh điều hành Cửu Long,Công ty Liên doanh điều hành Cửu Long,1.002.560.729.188,1.002.560.729.188,1.645.545.089.735,1.645.545.089.735,1002560729188.0,1002560729188.0,1645545089735.0,1645545089735.0
Công ty Hoàng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Hoàng Long,Công ty Hoàng Long,860.407.745.789,860.407.745.789,244.595.897.248,244.595.897.248,860407745789.0,860407745789.0,244595897248.0,244595897248.0
Công ty Điều hành chung Thắng Long,a. Các khoản phải trả người bán ngắn hạn > Công ty Điều hành chung Thắng Long,Công ty Điều hành chung Thắng Long,175.238.596.078,175.238.596.078,217.669.842.227,217.669.842.227,175238596078.0,175238596078.0,217669842227.0,217669842227.0
Công ty Premier Oil Việt Nam Offshore B.V,a. Các khoản phải trả người bán ngắn hạn > Công ty Premier Oil Việt Nam Offshore B.V,Công ty Premier Oil Việt Nam Offshore B.V,44.144.550.755,44.144.550.755,-,-,44144550755.0,44144550755.0,,
Công ty Dầu khí Việt Nhật,a. Các khoản phải trả người bán ngắn hạn > Công ty Dầu khí Việt Nhật,Công ty Dầu khí Việt Nhật,-,-,571.739.264.948,571.739.264.948,,,571739264948.0,571739264948.0
Các đối tượng khác,a. Các khoản phải trả người bán ngắn hạn > Các đối tượng khác,Các đối tượng khác,370.551.386.872,370.551.386.872,449.265.304.247,449.265.304.247,370551386872.0,370551386872.0,449265304247.0,449265304247.0
b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minh số 34),a. Các khoản phải trả người bán ngắn hạn > b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minh số 34),b. Phải trả người bán là các bên liên quan(chỉ tiết tại Thuyết minh số 34),4.615.038.402.056,4.615.038.402.056,2.871.030.367.595,2.871.030.367.595,4615038402056.0,4615038402056.0,2871030367595.0,2871030367595.0
,,,7.067.941.410.738,7.067.941.410.738,5.999.845.766.000,5.999.845.766.000,7067941410738.0,7067941410738.0,5999845766000.0,5999845766000.0
