row_label_raw,row_label_full,Tập đoàn Dầu khí Việt Nam ứng trả hộ nợvay trước hạn (i) > Lợi nhuận còn phải trả Tập đoàn Dầu khíViệt Nam,Số cuối nămVND > 1.925.894.960.000 > 917.747.535.419,Số đầu nămVND > - > 1.423.992.623.305,numeric__Số cuối nămVND > 1.925.894.960.000 > 917.747.535.419,numeric__Số đầu nămVND > - > 1.423.992.623.305
Phải trả tiền bán cổ phần,Phải trả tiền bán cổ phần,Phải trả tiền bán cổ phần,9.211.577.795,9.211.577.795,9211577795.0,9211577795.0
"Nhận ký quỹ, ký cược ngân hạn","Nhận ký quỹ, ký cược ngân hạn","Nhận ký quỹ, ký cược ngân hạn",5.480.260.710,7.738.497.195,5480260710.0,7738497195.0
Ban quản lý Dự án Nhà máy Lộc đầu DungQuất,Ban quản lý Dự án Nhà máy Lộc đầu DungQuất,Ban quản lý Dự án Nhà máy Lộc đầu DungQuất,1.118.996.642,170.383.701.042,1118996642.0,170383701042.0
Phải trả ngân hạn khác,Phải trả ngân hạn khác,Phải trả ngân hạn khác,14.598.566.875,12.767.076.194,14598566875.0,12767076194.0
,,,2.874.051.897.441,1.624.093.475.531,2874051897441.0,1624093475531.0
