row_label_raw,row_label_full,col_0,Sô dãu nám,Sô dãu nám_1,Trong nám,Trong nám_1,Sô cuôi nám,Sô cuôi nám_1,numeric__Sô dãu nám,numeric__Sô dãu nám_1,numeric__Trong nám,numeric__Trong nám_1,numeric__Sô cuôi nám,numeric__Sô cuôi nám_1
,,,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,-,-,13.328.000.892.845,12.928.000.892.845,400.000.000.000,400.000.000.000,,,13328000892845.0,12928000892845.0,400000000000.0,400000000000.0
Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,Ngân hàng BNP Paribas - Chi nhánh Hà Nội,-,-,780.000.000.000,780.000.000.000,-,-,,,780000000000.0,780000000000.0,,
Ngân hàng TMCP Đầu tư & Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư & Phát triển Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Đầu tư & Phát triển Việt Nam - Chi nhánh Quảng Ngãi,-,-,1.410.557.460.733,1.410.557.460.733,-,-,,,1410557460733.0,1410557460733.0,,
Ngân hàng Fông Kông và Thượng Hải - Chi nhánh Hà Nội,Ngân hàng Fông Kông và Thượng Hải - Chi nhánh Hà Nội,Ngân hàng Fông Kông và Thượng Hải - Chi nhánh Hà Nội,-,-,2.340.000.000.000,2.340.000.000.000,-,-,,,2340000000000.0,2340000000000.0,,
Ngân hàng TMCP Ngoại thường Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thường Việt Nam - Chi nhánh Quảng Ngãi,Ngân hàng TMCP Ngoại thường Việt Nam - Chi nhánh Quảng Ngãi,-,-,1.675.000.000.000,1.675.000.000.000,-,-,,,1675000000000.0,1675000000000.0,,
Ngân hàng TMCP Phát triển TP.Hỗ Chí Minh - Hội số,Ngân hàng TMCP Phát triển TP.Hỗ Chí Minh - Hội số,Ngân hàng TMCP Phát triển TP.Hỗ Chí Minh - Hội số,-,-,3.765.044.242.219,3.765.044.242.219,-,-,,,3765044242219.0,3765044242219.0,,
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,-,-,1.500.000.000.000,1.500.000.000.000,-,-,,,1500000000000.0,1500000000000.0,,
Ngân hàng TMCP Quân đội - chi nhánh Thăng Long,Ngân hàng TMCP Quân đội - chi nhánh Thăng Long,Ngân hàng TMCP Quân đội - chi nhánh Thăng Long,-,-,300.000.000.000,300.000.000.000,-,-,,,300000000000.0,300000000000.0,,
Ngân hàng TNHH Một thành viên ANZ (Việt Nam),Ngân hàng TNHH Một thành viên ANZ (Việt Nam),Ngân hàng TNHH Một thành viên ANZ (Việt Nam),-,-,127.599.189.893,127.599.189.893,-,-,,,127599189893.0,127599189893.0,,
Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam - Chi nhánh Long Biên,Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam - Chi nhánh Long Biên,Ngân hàng TMCP Xuất Nhập Khẩu Việt Nam - Chi nhánh Long Biên,-,-,1.429.800.000.000,1.029.800.000.000,400.000.000.000,400.000.000.000,,,1429800000000.0,1029800000000.0,400000000000.0,400000000000.0
Nợ dài hạn đến hạn trả (xem Thuyết minh số 19),Nợ dài hạn đến hạn trả (xem Thuyết minh số 19),Nợ dài hạn đến hạn trả (xem Thuyết minh số 19),2.815.862.717.195,2.291.723.317.194,2.116.092.610.000,4.225.789.727.194,706.165.600.001,-,2815862717195.0,2291723317194.0,2116092610000.0,4225789727194.0,706165600001.0,
Chỉ tiết số dư vay dài hạn đến hạn trả tại:,Chỉ tiết số dư vay dài hạn đến hạn trả tại:,Chỉ tiết số dư vay dài hạn đến hạn trả tại:,Chỉ tiết số dư vay dài hạn đến hạn trả tại:,Chỉ tiết số dư vay dài hạn đến hạn trả tại:,Chỉ tiết số dư vay dài hạn đến hạn trả tại:,Chỉ tiết số dư vay dài hạn đến hạn trả tại:,Chỉ tiết số dư vay dài hạn đến hạn trả tại:,Chỉ tiết số dư vay dài hạn đến hạn trả tại:,,,,,,
Công ty Cổ phần Lộc hóa dấu Bình Sơn,Chỉ tiết số dư vay dài hạn đến hạn trả tại: > Công ty Cổ phần Lộc hóa dấu Bình Sơn,Công ty Cổ phần Lộc hóa dấu Bình Sơn,2.291.723.317.194,2.291.723.317.194,1.932.666.010.000,4.224.389.327.194,-,-,2291723317194.0,2291723317194.0,1932666010000.0,4224389327194.0,,
Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,Chỉ tiết số dư vay dài hạn đến hạn trả tại: > Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,Công ty Cổ phần Nhiên liệu Sinh học Dầu khí Miền Trung,524.139.400.001,(*),183.426.600.000,1.400.400.000,706.165.600.001,(*),524139400001.0,,183426600000.0,1400400000.0,706165600001.0,
,,,2.815.862.717.195,2.291.723.317.194,15.444.093.502.845,17.153.790.620.039,1.106.165.600.001,400.000.000.000,2815862717195.0,2291723317194.0,15444093502845.0,17153790620039.0,1106165600001.0,400000000000.0
