row_label_raw,row_label_full,col_0,Năm nayVND,Kỳ trướcVND,numeric__Năm nayVND,numeric__Kỳ trướcVND
Giá vốn hàng bán Diesel DO,Giá vốn hàng bán Diesel DO,Giá vốn hàng bán Diesel DO,37.009.464.968.400,19.805.471.589.431,37009464968400.0,19805471589431.0
Giá vốn hàng bán Xăng Mogas 95,Giá vốn hàng bán Xăng Mogas 95,Giá vốn hàng bán Xăng Mogas 95,25.789.079.015.418,14.087.241.162.978,25789079015418.0,14087241162978.0
Giá vốn hàng bán Xăng Mogas 92,Giá vốn hàng bán Xăng Mogas 92,Giá vốn hàng bán Xăng Mogas 92,15.808.778.247.701,9.637.356.820.369,15808778247701.0,9637356820369.0
Giá vốn hàng bán Kerosen/Jet A1,Giá vốn hàng bán Kerosen/Jet A1,Giá vốn hàng bán Kerosen/Jet A1,7.740.466.487.400,3.856.258.438.396,7740466487400.0,3856258438396.0
Giá vốn hàng bán LPG,Giá vốn hàng bán LPG,Giá vốn hàng bán LPG,5.902.869.971.359,3.595.667.801.631,5902869971359.0,3595667801631.0
Giá vốn hàng bán Polypropylene,Giá vốn hàng bán Polypropylene,Giá vốn hàng bán Polypropylene,4.507.411.275.185,2.267.592.062.219,4507411275185.0,2267592062219.0
Giá vốn hàng bán Dầu nhiên liệu FO,Giá vốn hàng bán Dầu nhiên liệu FO,Giá vốn hàng bán Dầu nhiên liệu FO,1.428.509.340.911,1.098.911.362.503,1428509340911.0,1098911362503.0
Giá vốn Xăng sinh học E5,Giá vốn Xăng sinh học E5,Giá vốn Xăng sinh học E5,684.020.650.274,412.481.947.603,684020650274.0,412481947603.0
Giá vốn dịch vụ cảng biển,Giá vốn dịch vụ cảng biển,Giá vốn dịch vụ cảng biển,55.590.959.997,31.270.648.233,55590959997.0,31270648233.0
Giá vốn bán Pallet,Giá vốn bán Pallet,Giá vốn bán Pallet,27.782.417.000,5.447.754.000,27782417000.0,5447754000.0
Giá vốn kinh doanh sản phẩm Ethanol,Giá vốn kinh doanh sản phẩm Ethanol,Giá vốn kinh doanh sản phẩm Ethanol,16.720.818.884,-,16720818884.0,
Chi phí trong thời gian dùng sản xuất Nhà máy nhiên liệu sinh học,Chi phí trong thời gian dùng sản xuất Nhà máy nhiên liệu sinh học,Chi phí trong thời gian dùng sản xuất Nhà máy nhiên liệu sinh học,80.731.866.670,40.303.275.387,80731866670.0,40303275387.0
(Hoàn nhập)/Trích lập dự phòng giảm giá hàng tồn kho,(Hoàn nhập)/Trích lập dự phòng giảm giá hàng tồn kho,(Hoàn nhập)/Trích lập dự phòng giảm giá hàng tồn kho,(235.981.692.908),252.824.694.734,-235981692908.0,252824694734.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,35.546.967.538,20.462.121.127,35546967538.0,20462121127.0
,,,98.850.991.293.829,55.111.289.678.611,98850991293829.0,55111289678611.0
