row_label_raw,row_label_full,col_0,Năm nay,Kỳ trước,numeric__Năm nay,numeric__Kỳ trước
,,,VND,VND,,
Các khoản chi phí bán hàng phát sinh trong năm/kỳ,Các khoản chi phí bán hàng phát sinh trong năm/kỳ,Các khoản chi phí bán hàng phát sinh trong năm/kỳ,714.115.014.949,374.634.440.194,714115014949.0,374634440194.0
Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,43.737.677.004,17.797.343.722,43737677004.0,17797343722.0
"Chi phí dụng cụ, cổ dùng","Chi phí dụng cụ, cổ dùng","Chi phí dụng cụ, cổ dùng",-,1.533.336,,1533336.0
Chi phí khấu hao tài sản cổ định,Chi phí khấu hao tài sản cổ định,Chi phí khấu hao tài sản cổ định,147.736.383.372,73.868.191.686,147736383372.0,73868191686.0
Chi phí vận chuyển bán sản phẩm,Chi phí vận chuyển bán sản phẩm,Chi phí vận chuyển bán sản phẩm,394.795.375.482,229.595.955.753,394795375482.0,229595955753.0
Chi phí bảo hiểm bán sản phẩm,Chi phí bảo hiểm bán sản phẩm,Chi phí bảo hiểm bán sản phẩm,933.298.949,671.247.864,933298949.0,671247864.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,126.845.599.083,51.167.864.831,126845599083.0,51167864831.0
Chi phí bán hàng xăng sinh học E5,Chi phí bán hàng xăng sinh học E5,Chi phí bán hàng xăng sinh học E5,-,248.000.000,,248000000.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,66.681.059,1.284.303.002,66681059.0,1284303002.0
,,,1.103.539.562.889,543.261.602.319,1103539562889.0,543261602319.0
