row_label_raw,row_label_full,"Lợi nhuận trong năm/kỳ phân bổ cho các cổ đông sở hữu cổ phiếu phố thông (VND) > Trừ: Số tiền trích Quỹ khen thưởng, phúc lợi (VND) (*)",Năm nay > 2.913.820.263.418 > 129.166.019.726,Kỳ trước > 250.790.073.767 > 65.853.362.976,numeric__Năm nay > 2.913.820.263.418 > 129.166.019.726,numeric__Kỳ trước > 250.790.073.767 > 65.853.362.976
Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),2.784.654.243.692,184.936.710.791,2784654243692.0,184936710791.0
Số bình quân gia quyền của cổ phiếu phố thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phố thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phố thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),3.100.499.616,3.100.499.616,3100499616.0,3100499616.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),898,60,898.0,60.0
