row_label_raw,row_label_full,col_0,Nhà xuǒngvà vǎt kiēn trúc,Máy mócvà thiēt bị,"Phuǒng tiēn vàn tāi,thiet bị truyèn dǎn",Thiēt bịvǎn phòng,Tài sān có dihnh hǔuhinh khác,Tùng,numeric__Nhà xuǒngvà vǎt kiēn trúc,numeric__Máy mócvà thiēt bị,"numeric__Phuǒng tiēn vàn tāi,thiet bị truyèn dǎn",numeric__Thiēt bịvǎn phòng,numeric__Tài sān có dihnh hǔuhinh khác,numeric__Tùng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Sô du dāu nám,NGUYÊN GIÁ > Sô du dāu nám,Sô du dāu nám,6.908.353.092.443,39.117.045.985.404,187.485.089.350,512.231.885.370,406.645.128.413,47.131.761.180.980,6908353092443.0,39117045985404.0,187485089350.0,512231885370.0,406645128413.0,47131761180980.0
Tăng trong nám,NGUYÊN GIÁ > Tăng trong nám,Tăng trong nám,78.038.000,106.995.316.435,-,28.649.708.089,-,135.723.062.524,78038000.0,106995316435.0,,28649708089.0,,135723062524.0
Dàu tu xay dung co bànhoàn thanh,NGUYÊN GIÁ > Dàu tu xay dung co bànhoàn thanh,Dàu tu xay dung co bànhoàn thanh,33.998.560.506,-,-,17.574.500.000,-,51.573.060.506,33998560506.0,,,17574500000.0,,51573060506.0
"Thanh lý, nhuong bàn","NGUYÊN GIÁ > Thanh lý, nhuong bàn","Thanh lý, nhuong bàn",-,-,(608.880.000),-,-,(608.880.000),,,-608880000.0,,,-608880000.0
Sô du cuǒi nám,NGUYÊN GIÁ > Sô du cuǒi nám,Sô du cuǒi nám,6.942.429.690.949,39.224.041.301.839,186.876.209.350,558.456.093.459,406.645.128.413,47.318.448.424.010,6942429690949.0,39224041301839.0,186876209350.0,558456093459.0,406645128413.0,47318448424010.0
GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,GIÁ TRI HAO MÔN LÜY KÉ,,,,,,
Sô du dāu nám,GIÁ TRI HAO MÔN LÜY KÉ > Sô du dāu nám,Sô du dāu nám,2.483.218.088.200,17.321.449.757.067,97.299.533.485,250.624.507.808,80.480.021.614,20.233.071.908.174,2483218088200.0,17321449757067.0,97299533485.0,250624507808.0,80480021614.0,20233071908174.0
Khāu hao trong nám,GIÁ TRI HAO MÔN LÜY KÉ > Khāu hao trong nám,Khāu hao trong nám,320.342.419.023,2.149.672.805.971,17.233.622.789,81.849.203.914,16.260.885.096,2.585.358.936.793,320342419023.0,2149672805971.0,17233622789.0,81849203914.0,16260885096.0,2585358936793.0
"Khāu hao tai san cúa du an, tai sancho muc dich phúc lǐi","GIÁ TRI HAO MÔN LÜY KÉ > Khāu hao tai san cúa du an, tai sancho muc dich phúc lǐi","Khāu hao tai san cúa du an, tai sancho muc dich phúc lǐi",263.938.164,460.036.680,-,204.503.724,-,928.478.568,263938164.0,460036680.0,,204503724.0,,928478568.0
"Thanh lý, nhuong bàn","GIÁ TRI HAO MÔN LÜY KÉ > Thanh lý, nhuong bàn","Thanh lý, nhuong bàn",-,-,(608.880.000),-,-,(608.880.000),,,-608880000.0,,,-608880000.0
Sô du cuǒi nám,GIÁ TRI HAO MÔN LÜY KÉ > Sô du cuǒi nám,Sô du cuǒi nám,2.803.824.445.387,19.471.582.599.718,113.924.276.274,332.678.215.446,96.740.906.710,22.818.750.443.535,2803824445387.0,19471582599718.0,113924276274.0,332678215446.0,96740906710.0,22818750443535.0
GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,GIÁ TRI CÔN LAI,,,,,,
Sô du dāu nám,GIÁ TRI CÔN LAI > Sô du dāu nám,Sô du dāu nám,4.425.135.004.243,21.795.596.228.337,90.185.555.865,261.607.377.562,326.165.106.799,26.898.689.272.806,4425135004243.0,21795596228337.0,90185555865.0,261607377562.0,326165106799.0,26898689272806.0
Sô du cuǒi nám,GIÁ TRI CÔN LAI > Sô du cuǒi nám,Sô du cuǒi nám,4.138.605.245.562,19.752.458.702.121,72.951.933.076,225.777.878.013,309.904.221.703,24.499.697.980.475,4138605245562.0,19752458702121.0,72951933076.0,225777878013.0,309904221703.0,24499697980475.0
