row_label_raw,row_label_full,col_0,Năm nayVND,Kỳ trướcVND,numeric__Năm nayVND,numeric__Kỳ trướcVND
Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,102.823.756.014.297,56.058.842.429.120,102823756014297.0,56058842429120.0
Doanh thu Diesel DO,Doanh thu Diesel DO,Doanh thu Diesel DO,38.125.709.062.933,20.492.414.568.177,38125709062933.0,20492414568177.0
Doanh thu Xăng Mogas 95,Doanh thu Xăng Mogas 95,Doanh thu Xăng Mogas 95,26.692.353.973.898,13.699.235.857.922,26692353973898.0,13699235857922.0
Doanh thu Xăng Mogas 92,Doanh thu Xăng Mogas 92,Doanh thu Xăng Mogas 92,16.430.742.751.160,9.536.374.771.381,16430742751160.0,9536374771381.0
Doanh thu Kerosen/Jet A1,Doanh thu Kerosen/Jet A1,Doanh thu Kerosen/Jet A1,8.479.141.714.457,4.254.147.217.291,8479141714457.0,4254147217291.0
Doanh thu LPG,Doanh thu LPG,Doanh thu LPG,5.983.079.101.866,3.954.797.078.382,5983079101866.0,3954797078382.0
Doanh thu Polypropylene,Doanh thu Polypropylene,Doanh thu Polypropylene,4.512.820.605.656,2.418.183.728.544,4512820605656.0,2418183728544.0
Doanh thu Dầu nhiên liệu FO,Doanh thu Dầu nhiên liệu FO,Doanh thu Dầu nhiên liệu FO,1.661.960.488.449,1.201.781.252.288,1661960488449.0,1201781252288.0
Doanh thu Xăng sinh học E5,Doanh thu Xăng sinh học E5,Doanh thu Xăng sinh học E5,704.950.001.899,404.781.381.979,704950001899.0,404781381979.0
Doanh thu dịch vụ cảng biến,Doanh thu dịch vụ cảng biến,Doanh thu dịch vụ cảng biến,132.327.172.807,66.827.994.125,132327172807.0,66827994125.0
Doanh thu bán Pallet,Doanh thu bán Pallet,Doanh thu bán Pallet,28.402.868.000,5.569.416.000,28402868000.0,5569416000.0
Doanh thu bán sản phẩm Ethanol E100,Doanh thu bán sản phẩm Ethanol E100,Doanh thu bán sản phẩm Ethanol E100,17.068.909.603,-,17068909603.0,
Doanh thu khác,Doanh thu khác,Doanh thu khác,55.199.363.569,24.729.163.031,55199363569.0,24729163031.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,3.369.000,-,3369000.0,
Doanh thu thuân về bán hàng và cung cấp dịch vụ,Doanh thu thuân về bán hàng và cung cấp dịch vụ,Doanh thu thuân về bán hàng và cung cấp dịch vụ,102.823.752.645.297,56.058.842.429.120,102823752645297.0,56058842429120.0
Trong đó: Doanh thu với các bên liên quan (chi tiết tại Thuyết minh số 34),Trong đó: Doanh thu với các bên liên quan (chi tiết tại Thuyết minh số 34),Trong đó: Doanh thu với các bên liên quan (chi tiết tại Thuyết minh số 34),15.373.621.607.359,9.775.140.809.746,15373621607359.0,9775140809746.0
