row_label_raw,row_label_full,b) Nợ phải trả tài chính,Giá trị sổ sách > 31/12/2019 > Giá trị,Giá trị sổ sách > 31/12/2019 > Dự phòng,Giá trị sổ sách > 01/01/2019 > Giá trị,Giá trị sổ sách > 01/01/2019 > Dự phòng,Đơn vị tính: VNDGiá trị hợp lý > 31/12/2019,Đơn vị tính: VNDGiá trị hợp lý > 01/01/2019,numeric__Giá trị sổ sách > 31/12/2019 > Giá trị,numeric__Giá trị sổ sách > 31/12/2019 > Dự phòng,numeric__Giá trị sổ sách > 01/01/2019 > Giá trị,numeric__Giá trị sổ sách > 01/01/2019 > Dự phòng,numeric__Đơn vị tính: VNDGiá trị hợp lý > 31/12/2019,numeric__Đơn vị tính: VNDGiá trị hợp lý > 01/01/2019
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,104.254.218.959,,52.118.095.808,,104.254.218.959,52.118.095.808,104254218959.0,,52118095808.0,,104254218959.0,52118095808.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,13.671.606.067,,,,13.671.606.067,,13671606067.0,,,,13671606067.0,
Vay và nợ,Vay và nợ,Vay và nợ,374.664.665.214,,108.893.341.010,,374.664.665.214,108.893.341.010,374664665214.0,,108893341010.0,,374664665214.0,108893341010.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,7.522.165.361,,7.985.629.368,,7.522.165.361,7.985.629.368,7522165361.0,,7985629368.0,,7522165361.0,7985629368.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,9.717.695.417,,7.377.910.273,,9.717.695.417,7.377.910.273,9717695417.0,,7377910273.0,,9717695417.0,7377910273.0
Cộng,Cộng,Cộng,509.830.351.018,,176.374.976.459,,509.830.351.018,176.374.976.459,509830351018.0,,176374976459.0,,509830351018.0,176374976459.0
