row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Số phải nộp trong kỳ,Số đã thực nộp trong kỳ,Số cuối kỳ,Số cuối kỳ_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số phải nộp trong kỳ,numeric__Số đã thực nộp trong kỳ,numeric__Số cuối kỳ,numeric__Số cuối kỳ_1
,,,Phải thu,Phải trả,Số phải nộp trong kỳ,Số đã thực nộp trong kỳ,Phải thu,Phải trả,,,,,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,1.046.732.249,2.473.947.351,1.225.002.871,,2.295.676.729,,1046732249.0,2473947351.0,1225002871.0,,2295676729.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,,42.880.520,262.221.034,224.734.066,,80.367.488,,42880520.0,262221034.0,224734066.0,,80367488.0
Thuế GTGT,Thuế GTGT,Thuế GTGT,,7.694.097.463,38.108.530.241,42.166.907.513,,3.635.720.191,,7694097463.0,38108530241.0,42166907513.0,,3635720191.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,,,613.542.102,613.542.102,,,,,613542102.0,613542102.0,,
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",,,969.442.720,969.442.720,,,,,969442720.0,969442720.0,,
Thuế khác,Thuế khác,Thuế khác,,,121.112.722,121.112.722,,,,,121112722.0,121112722.0,,
Cộng,Cộng,Cộng,,8.783.710.232,42.548.796.170,45.320.741.994,,6.011.764.408,,8783710232.0,42548796170.0,45320741994.0,,6011764408.0
