row_label_raw,row_label_full,col_0,Gía trị,Dự phòng,Gía trị_1,Dự phòng_1,numeric__Gía trị,numeric__Dự phòng,numeric__Gía trị_1,numeric__Dự phòng_1
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,303.396.158.342,,41.196.084.145,,303396158342.0,,41196084145.0,
Tạm ứng,Tạm ứng,Tạm ứng,1.919.342.146,,2.667.149.240,,1919342146.0,,2667149240.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",100.000.000,,117.720.460,,100000000.0,,117720460.0,
Phải thu khác,Phải thu khác,Phải thu khác,301.376.816.196,,38.411.214.445,,301376816196.0,,38411214445.0,
+ Công ty CP Đầu tư Xây dựng Hải Thạch,+ Công ty CP Đầu tư Xây dựng Hải Thạch,+ Công ty CP Đầu tư Xây dựng Hải Thạch,21.520.587,,732.137.818,,21520587.0,,732137818.0,
+ Cục Quản lý đường bộ III,+ Cục Quản lý đường bộ III,+ Cục Quản lý đường bộ III,837.818.000,,837.818.000,,837818000.0,,837818000.0,
+ Công ty cổ phần Đầu tư UDIC,+ Công ty cổ phần Đầu tư UDIC,+ Công ty cổ phần Đầu tư UDIC,,,450.000.000,,,,450000000.0,
+ Công ty cổ phần Đầu tư Thương mại Quốc Tế Hà Thành,+ Công ty cổ phần Đầu tư Thương mại Quốc Tế Hà Thành,+ Công ty cổ phần Đầu tư Thương mại Quốc Tế Hà Thành,49.083.120.000,,,,49083120000.0,,,
+ Công ty cổ phần Đầu tư Đèo Cả- Bảo hành công trình,+ Công ty cổ phần Đầu tư Đèo Cả- Bảo hành công trình,+ Công ty cổ phần Đầu tư Đèo Cả- Bảo hành công trình,36.482.224.782,,36.302.142.822,,36482224782.0,,36302142822.0,
+ Công ty cổ phần Đầu tư Đèo Cả,+ Công ty cổ phần Đầu tư Đèo Cả,+ Công ty cổ phần Đầu tư Đèo Cả,173.300.000.000,,,,173300000000.0,,,
+ Công ty Cổ Phần Bot Bắc Giang Lạng Sơn,+ Công ty Cổ Phần Bot Bắc Giang Lạng Sơn,+ Công ty Cổ Phần Bot Bắc Giang Lạng Sơn,41.500.000.000,,,,41500000000.0,,,
+ Đối tượng khác,+ Đối tượng khác,+ Đối tượng khác,152.132.827,,89.115.805,,152132827.0,,89115805.0,
b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,
Cộng,b) Dài hạn > Cộng,Cộng,303.396.158.342,,41.196.084.145,,303396158342.0,,41196084145.0,
