row_label_raw,row_label_full,Chỉ tiêu,Quyền sử dụng đất,Quyền phát hành,"Bản quyền, bằng sáng chế",Phần mềm vi tính,TSCĐ vô hình khác,Cộng,numeric__Quyền sử dụng đất,numeric__Quyền phát hành,"numeric__Bản quyền, bằng sáng chế",numeric__Phần mềm vi tính,numeric__TSCĐ vô hình khác,numeric__Cộng
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu kỳ,I. Nguyên giá > 1. Số dư đầu kỳ,1. Số dư đầu kỳ,618.292.634,,,45.000.000,,663.292.634,618292634.0,,,45000000.0,,663292634.0
2. Số tăng trong kỳ- Mua trong kỳ- Tạo ra từ nội bộ DN- Tăng khác,2. Số tăng trong kỳ- Mua trong kỳ- Tạo ra từ nội bộ DN- Tăng khác,2. Số tăng trong kỳ- Mua trong kỳ- Tạo ra từ nội bộ DN- Tăng khác,,,,,,,,,,,,
"3. Số giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác","3. Số giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác","3. Số giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác",,,,,,,,,,,,
4. Số dư cuối kỳ,"3. Số giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác > 4. Số dư cuối kỳ",4. Số dư cuối kỳ,618.292.634,,,45.000.000,,663.292.634,618292634.0,,,45000000.0,,663292634.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,,,,,,
1. Số dư đầu kỳ,II. Giá trị hao mòn luỹ kế > 1. Số dư đầu kỳ,1. Số dư đầu kỳ,25.797.961,,,45.000.000,,70.797.961,25797961.0,,,45000000.0,,70797961.0
2. Khấu hao trong kỳ,II. Giá trị hao mòn luỹ kế > 2. Khấu hao trong kỳ,2. Khấu hao trong kỳ,12.881.088,,,,,12.881.088,12881088.0,,,,,12881088.0
- Khấu hao trong kỳ,II. Giá trị hao mòn luỹ kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,12.881.088,,,,,12.881.088,12881088.0,,,,,12881088.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,,,
"3. Giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác","3. Giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác","3. Giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác",,,,,,,,,,,,
4. Số dư cuối kỳ,"3. Giảm trong kỳ- Thanh lý, nhượng bán- Giảm khác > 4. Số dư cuối kỳ",4. Số dư cuối kỳ,38.679.049,,,45.000.000,,83.679.049,38679049.0,,,45000000.0,,83679049.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu kỳ,III. Giá trị còn lại > 1. Tại ngày đầu kỳ,1. Tại ngày đầu kỳ,592.494.673,,,,,592.494.673,592494673.0,,,,,592494673.0
2. Tại ngày cuối kỳ,III. Giá trị còn lại > 2. Tại ngày cuối kỳ,2. Tại ngày cuối kỳ,579.613.585,,,,,579.613.585,579613585.0,,,,,579613585.0
