row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_2,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND > 31/12/2019,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND > 01/01/2019,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_3,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_4,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_2,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND > 31/12/2019,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND > 01/01/2019,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_3,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNGNăm 2019Đơn vị tính: VND_4
12. CHI PHÍ TRẢ TRƯỚC,12. CHI PHÍ TRẢ TRƯỚC,12. CHI PHÍ TRẢ TRƯỚC,12. CHI PHÍ TRẢ TRƯỚC,12. CHI PHÍ TRẢ TRƯỚC,12. CHI PHÍ TRẢ TRƯỚC,12. CHI PHÍ TRẢ TRƯỚC,12. CHI PHÍ TRẢ TRƯỚC,12. CHI PHÍ TRẢ TRƯỚC,,,,,,
a) Ngắn hạn,12. CHI PHÍ TRẢ TRƯỚC > a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,694.251.927,663.934.353,,,,,694251927.0,663934353.0,,
"Công cụ, dụng cụ xuất dùng","12. CHI PHÍ TRẢ TRƯỚC > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",151.324.406,215.019.096,,,,,151324406.0,215019096.0,,
"Chi phí sửa chữa, bảo hiểm xe","12. CHI PHÍ TRẢ TRƯỚC > Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe",542.927.521,448.915.257,,,,,542927521.0,448915257.0,,
Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,,,,,,
b) Dài hạn,Các khoản khác > b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,2.045.687.669,5.842.644.678,,,,,2045687669.0,5842644678.0,,
"Công cụ, dụng cụ xuất dùng","Các khoản khác > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",282.028.143,2.241.031.419,,,,,282028143.0,2241031419.0,,
"Chi phí sửa chữa, bảo hiểm xe","Các khoản khác > Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe","Chi phí sửa chữa, bảo hiểm xe",23.851.740,1.899.025.899,,,,,23851740.0,1899025899.0,,
Các khoản khác,Các khoản khác > Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,1.010.287.365,805.317.302,,,,,1010287365.0,805317302.0,,
Chi phí xây dựng cơ bản dở dangCộng,Các khoản khác > Chi phí xây dựng cơ bản dở dangCộng,Chi phí xây dựng cơ bản dở dangCộng,Chi phí xây dựng cơ bản dở dangCộng,Chi phí xây dựng cơ bản dở dangCộng,729.520.421,897.270.058,,,,,729520421.0,897270058.0,,
