row_label_raw,row_label_full,Các thành viên của Ban Tổng Giám đốc bao gồm: > Ông: > Bà,Các thành viên của Ban Tổng Giám đốc bao gồm: > Võ Thụy Linh > Nguyễn Xuân Hường > Nguyễn Quang Hưng > Võ Cảnh Tỉnh > Võ Ngọc Trung > Nguyễn Quang Huy > Phạm Quốc Vượng > Lê Châu Thắng > Phạm Thị Huyền Trang,Các thành viên của Ban Tổng Giám đốc bao gồm: > Tổng Giám đốc > Tổng giám đốc > Phó Tổng giám đốc,Ngày bổ nhiệm > 10/01/2020 > 23/01/2017 > 01/04/2019 > 08/05/2019 > 24/05/2019 > 15/10/2019 > 10/01/2020,Ngày miễn nhiệm > 10/01/2020 > 17/04/2019 > 14/11/2019 > 24/05/2019,numeric__Các thành viên của Ban Tổng Giám đốc bao gồm: > Võ Thụy Linh > Nguyễn Xuân Hường > Nguyễn Quang Hưng > Võ Cảnh Tỉnh > Võ Ngọc Trung > Nguyễn Quang Huy > Phạm Quốc Vượng > Lê Châu Thắng > Phạm Thị Huyền Trang,numeric__Các thành viên của Ban Tổng Giám đốc bao gồm: > Tổng Giám đốc > Tổng giám đốc > Phó Tổng giám đốc,numeric__Ngày bổ nhiệm > 10/01/2020 > 23/01/2017 > 01/04/2019 > 08/05/2019 > 24/05/2019 > 15/10/2019 > 10/01/2020,numeric__Ngày miễn nhiệm > 10/01/2020 > 17/04/2019 > 14/11/2019 > 24/05/2019
Các thành viên của Ban Kiểm soát bao gồm:,Các thành viên của Ban Kiểm soát bao gồm:,Các thành viên của Ban Kiểm soát bao gồm:,Các thành viên của Ban Kiểm soát bao gồm:,Các thành viên của Ban Kiểm soát bao gồm:,Các thành viên của Ban Kiểm soát bao gồm:,Các thành viên của Ban Kiểm soát bao gồm:,,,,
Ông:,Ông:,Ông:,Nguyễn Minh Giang,Trường ban,16/04/2018,,,,,
Ông:,Ông:,Ông:,Phạm Lê Huy,Thành viên,16/04/2018,,,,,
Ông:,Ông:,Ông:,Lưu Tuấn Vũ,Thành viên,16/04/2018,,,,,
Đại diện theo pháp luật:,Đại diện theo pháp luật:,Đại diện theo pháp luật:,Đại diện theo pháp luật:,Đại diện theo pháp luật:,Ngày bổ nhiệm,Ngày miễn nhiệm,,,,
Ông:,Ông:,Ông:,Võ Thụy Linh,Tổng Giám đốc,10/01/2020,,,,,
Ông:,Ông:,Ông:,Nguyễn Xuân Hường,Tổng Giám đốc,20/10/2017,09/01/2020,,,,
Kế toán trưởng:,Kế toán trưởng:,Kế toán trưởng:,Kế toán trưởng:,Kế toán trưởng:,Kế toán trưởng:,Kế toán trưởng:,,,,
Ông:,Ông:,Ông:,An Văn Thiện,,05/04/2019,,,,,
Ông:,Ông:,Ông:,Nguyễn Văn Ân,,,05/04/2019,,,,
