row_label_raw,row_label_full,Tên Công ty,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phân phối,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Lợi nhuận sau thuế,numeric__Lợi nhuận chưa phân phối
- Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,- Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,- Công ty Cổ Phần BOT Bắc Giang Lạng Sơn,"63,40%","63,40%",(55.074.143.769),(55.074.143.769),0.634,0.634,-55074143769.0,-55074143769.0
- Công ty cổ phần Đầu tư Đèo Cả,- Công ty cổ phần Đầu tư Đèo Cả,- Công ty cổ phần Đầu tư Đèo Cả,"60,12%","60,12%",(243.615.185.768),(539.204.312.099),0.6012,0.6012,-243615185768.0,-539204312099.0
- Công ty Cổ phần Phước Tượng Phú Gia BOT,- Công ty Cổ phần Phước Tượng Phú Gia BOT,- Công ty Cổ phần Phước Tượng Phú Gia BOT,"99,47%","99,47%",(21.984.406.061),(21.984.406.061),0.9947,0.9947,-21984406061.0,-21984406061.0
"- Công ty liên doanh, liên kết","- Công ty liên doanh, liên kết","- Công ty liên doanh, liên kết",,,,,,,,
Tên Công ty,Tên Công ty,Tên Công ty,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phân phối,,,,
- Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Tên Công ty > - Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,- Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,"21,95%","21,95%",2.156.944.213,5.832.767.606,0.2195,0.2195,2156944213.0,5832767606.0
- Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,Tên Công ty > - Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,- Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,"46,01%","50,00%",47.199.390.860,54.216.985.055,0.46009999999999995,0.5,47199390860.0,54216985055.0
- Cty CP BOT Bắc Giang Lạng Sơn Hữu Nghị,Tên Công ty > - Cty CP BOT Bắc Giang Lạng Sơn Hữu Nghị,- Cty CP BOT Bắc Giang Lạng Sơn Hữu Nghị,"22,17%","22,17%",6.911.563,6.911.563,0.2217,0.2217,6911563.0,6911563.0
"Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:","Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:","Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:","Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:","Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:","Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:","Trong kỳ, Công ty có phát sinh các nghiệp vụ với các bên liên quan Các nghiệp vụ chủ yếu như sau:",,,,
+ Công ty Cổ phần BOT Bắc Giang Lạng Sơn,+ Công ty Cổ phần BOT Bắc Giang Lạng Sơn,+ Công ty Cổ phần BOT Bắc Giang Lạng Sơn,,,,,,,,
,,,- Phải thu khác,,,41.500.000.000,,,,41500000000.0
,,,- Duy tu Bắc Giang-Lạng Sơn theo,,,10.149.888.181,,,,10149888181.0
,,,HĐ 19/2019/HDBT-BGLS ngày 31/12/2018,,,,,,,
,,,-Phải thu,,,2.385.556.925,,,,2385556925.0
+ Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả,,,,,,,,
,,,- Thi công các công trình,,,246.377.584.547,,,,246377584547.0
,,,- Cho thuê nhà chung cư,,,599.435.000,,,,599435000.0
,,,- Số dư cuối bảo hành các công trình,,,36.482.224.782,,,,36482224782.0
,,,- Phải thu khác,,,173.300.000.000,,,,173300000000.0
,,,- Phải thu,,,97.994.937.849,,,,97994937849.0
