row_label_raw,row_label_full,"Nhàm phục vụ cho công tác quản lý của Công ty, Công ty được tổ chức quản lý và hạch toán theo các đơn vị sản phẩm và lĩnh vực kinh doanh do đó báo cáo bộ phận theo các các sản phẩm sản xuất và cung cấp dịch vụ như sau: > Năm trước","Nhàm phục vụ cho công tác quản lý của Công ty, Công ty được tổ chức quản lý và hạch toán theo các đơn vị sản phẩm và lĩnh vực kinh doanh do đó báo cáo bộ phận theo các các sản phẩm sản xuất và cung cấp dịch vụ như sau: > Bán hàng","Nhàm phục vụ cho công tác quản lý của Công ty, Công ty được tổ chức quản lý và hạch toán theo các đơn vị sản phẩm và lĩnh vực kinh doanh do đó báo cáo bộ phận theo các các sản phẩm sản xuất và cung cấp dịch vụ như sau: > Dịch vụ","Nhàm phục vụ cho công tác quản lý của Công ty, Công ty được tổ chức quản lý và hạch toán theo các đơn vị sản phẩm và lĩnh vực kinh doanh do đó báo cáo bộ phận theo các các sản phẩm sản xuất và cung cấp dịch vụ như sau: > Bất động sản đầu tư","Nhàm phục vụ cho công tác quản lý của Công ty, Công ty được tổ chức quản lý và hạch toán theo các đơn vị sản phẩm và lĩnh vực kinh doanh do đó báo cáo bộ phận theo các các sản phẩm sản xuất và cung cấp dịch vụ như sau: > Vận hành, bảo dưỡng Hầm","Nhàm phục vụ cho công tác quản lý của Công ty, Công ty được tổ chức quản lý và hạch toán theo các đơn vị sản phẩm và lĩnh vực kinh doanh do đó báo cáo bộ phận theo các các sản phẩm sản xuất và cung cấp dịch vụ như sau: > Xây dựng","Nhàm phục vụ cho công tác quản lý của Công ty, Công ty được tổ chức quản lý và hạch toán theo các đơn vị sản phẩm và lĩnh vực kinh doanh do đó báo cáo bộ phận theo các các sản phẩm sản xuất và cung cấp dịch vụ như sau: > Tổng cộng","numeric__Nhàm phục vụ cho công tác quản lý của Công ty, Công ty được tổ chức quản lý và hạch toán theo các đơn vị sản phẩm và lĩnh vực kinh doanh do đó báo cáo bộ phận theo các các sản phẩm sản xuất và cung cấp dịch vụ như sau: > Bán hàng","numeric__Nhàm phục vụ cho công tác quản lý của Công ty, Công ty được tổ chức quản lý và hạch toán theo các đơn vị sản phẩm và lĩnh vực kinh doanh do đó báo cáo bộ phận theo các các sản phẩm sản xuất và cung cấp dịch vụ như sau: > Dịch vụ","numeric__Nhàm phục vụ cho công tác quản lý của Công ty, Công ty được tổ chức quản lý và hạch toán theo các đơn vị sản phẩm và lĩnh vực kinh doanh do đó báo cáo bộ phận theo các các sản phẩm sản xuất và cung cấp dịch vụ như sau: > Bất động sản đầu tư","numeric__Nhàm phục vụ cho công tác quản lý của Công ty, Công ty được tổ chức quản lý và hạch toán theo các đơn vị sản phẩm và lĩnh vực kinh doanh do đó báo cáo bộ phận theo các các sản phẩm sản xuất và cung cấp dịch vụ như sau: > Vận hành, bảo dưỡng Hầm","numeric__Nhàm phục vụ cho công tác quản lý của Công ty, Công ty được tổ chức quản lý và hạch toán theo các đơn vị sản phẩm và lĩnh vực kinh doanh do đó báo cáo bộ phận theo các các sản phẩm sản xuất và cung cấp dịch vụ như sau: > Xây dựng","numeric__Nhàm phục vụ cho công tác quản lý của Công ty, Công ty được tổ chức quản lý và hạch toán theo các đơn vị sản phẩm và lĩnh vực kinh doanh do đó báo cáo bộ phận theo các các sản phẩm sản xuất và cung cấp dịch vụ như sau: > Tổng cộng"
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,27.083.661.922,21.274.175.001,1.307.858.182,194.719.934.689,150.313.459.014,394.699.088.808,27083661922.0,21274175001.0,1307858182.0,194719934689.0,150313459014.0,394699088808.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,27.083.661.922,21.274.175.001,1.307.858.182,194.719.934.689,150.313.459.014,394.699.088.808,27083661922.0,21274175001.0,1307858182.0,194719934689.0,150313459014.0,394699088808.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,,,,,,33.794.707.728,,,,,,33794707728.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,(20.872.830.578),,,,,,-20872830578.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,12.921.877.150,,,,,,12921877150.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,11.369.791.786,,,,,,11369791786.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,(8.574.896.989),,,,,,-8574896989.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,113.874.503,,,,,,113874503.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(849.457.552),,,,,,-849457552.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(1.806.732.249),,,,,,-1806732249.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,13.174.456.649,,,,,,13174456649.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,111.059.289,,,,,,111059289.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,21.513.249.758,,,,,,21513249758.0
