row_label_raw,row_label_full,PHỤ LỰC 1: GIAO ĐỊCH VỚI CÁC BÊN LIÊN QUAN > Bên liên quan,PHỤ LỰC 1: GIAO ĐỊCH VỚI CÁC BÊN LIÊN QUAN > Nội dung nghiệp vụ,Đơn vị tính: VND > Các khoản phải thu (VND),numeric__PHỤ LỰC 1: GIAO ĐỊCH VỚI CÁC BÊN LIÊN QUAN > Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Các khoản phải thu (VND)
+ Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả,- Ứng trước công trình,,,
+ Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả > + Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả,- Đặt cọc tiền góp vốp,173.300.000.000,,173300000000.0
+ Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả > + Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả,- Số dư cuối bảo hành các công trình,36.482.224.782,,36482224782.0
+ Công ty Cổ phần Phước Tượng Phú Gia BOT,+ Công ty Cổ phần Phước Tượng Phú Gia BOT,+ Công ty Cổ phần Phước Tượng Phú Gia BOT,- Ứng trước công trình,,,
+ Công ty Cổ phần Phước Tượng Phú Gia BOT,+ Công ty Cổ phần Phước Tượng Phú Gia BOT > + Công ty Cổ phần Phước Tượng Phú Gia BOT,+ Công ty Cổ phần Phước Tượng Phú Gia BOT,- Phải thu,4.697.299.850,,4697299850.0
+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,- Phải thu,,,
+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa > + Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,- Ứng trước công trình,267.496.000,,267496000.0
+ Công ty CP Đầu tư và Xây dựng ICV Việt Nam,+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa > + Công ty CP Đầu tư và Xây dựng ICV Việt Nam,+ Công ty CP Đầu tư và Xây dựng ICV Việt Nam,- Phải thu,1.135.834.286,,1135834286.0
+ Công ty CP Đầu tư và Xây dựng ICV Việt Nam,+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa > + Công ty CP Đầu tư và Xây dựng ICV Việt Nam,+ Công ty CP Đầu tư và Xây dựng ICV Việt Nam,- Phải trả,2.884.768.143,,2884768143.0
+ Công Ty Cổ Phần BOT Bắc Giang Lạng Sơn Hữu Nghị,+ Công Ty Cổ Phần BOT Bắc Giang Lạng Sơn Hữu Nghị,+ Công Ty Cổ Phần BOT Bắc Giang Lạng Sơn Hữu Nghị,,,,
