row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,31/12/2019 > VND,01/01/2019 Đã điều chỉnh > VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__31/12/2019 > VND,numeric__01/01/2019 Đã điều chỉnh > VND
300,300,300,C. NỘ PHẢI TRẢ,,1.638.042.803.980,1.817.583.256.110,,,1638042803980.0,1817583256110.0
310,310,310,I. Nợ ngắn hạn,,789.344.351.123,903.927.935.764,,,789344351123.0,903927935764.0
311,311,311,1. Phải trả người bán ngắn hạn,16,15.849.074.112,17.372.223.053,,16.0,15849074112.0,17372223053.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,17,305.589.541.070,263.312.942.768,,17.0,305589541070.0,263312942768.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,18,187.733.524,1.558.568.954,,18.0,187733524.0,1558568954.0
314,314,314,4. Phải trả người lao động,,16.485.474,722.749.498,,,16485474.0,722749498.0
315,315,315,5. Chỉ phí phải trả ngắn hạn,19,40.163.361.471,38.477.212.956,,19.0,40163361471.0,38477212956.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,21,7.765.733.232,7.765.733.232,,21.0,7765733232.0,7765733232.0
319,319,319,7. Phải trả ngắn hạn khác,20,385.044.689.167,387.502.492.230,,20.0,385044689167.0,387502492230.0
320,320,320,8. Vay và nợ thuê tài chính ngắn hạn,15,34.727.733.073,187.216.013.073,,15.0,34727733073.0,187216013073.0
330,330,330,II. Nợ dài hạn,,848.698.452.857,913.655.320.346,,,848698452857.0,913655320346.0
333,333,333,1. Chỉ phí phải trả dài hạn,19,37.397.910.222,37.397.910.222,,19.0,37397910222.0,37397910222.0
336,336,336,2. Doanh thu chưa thực hiện dài hạn,21,296.079.834.014,303.298.609.634,,21.0,296079834014.0,303298609634.0
337,337,337,3. Phải trả dài hạn khác,20,515.220.708.621,572.958.800.490,,20.0,515220708621.0,572958800490.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,308.048.288.526,321.994.794.517,,,308048288526.0,321994794517.0
410,410,410,I. Vốn chủ sở hữu,22,308.048.288.526,321.994.794.517,,22.0,308048288526.0,321994794517.0
411,411,411,1. Vốn góp của chủ sở hữu,,3.000.000.000.000,3.000.000.000.000,,,3000000000000.0,3000000000000.0
411a,411a,411a,Cổ đông phố thông có quyền biểu quyết,,3.000.000.000.000,3.000.000.000.000,,,3000000000000.0,3000000000000.0
414,414,414,2. Vốn khác của chủ sở hữu,,1.286.825.482,1.286.825.482,,,1286825482.0,1286825482.0
415,415,415,3. Cổ phiếu quỹ,,(10.000),(10.000),,,-10000.0,-10000.0
418,418,418,4. Quỹ đầu tư phát triển,,99.871.176.744,99.871.176.744,,,99871176744.0,99871176744.0
420,420,420,5. Quỹ khác thuộc vốn chủ sở hữu,,10.830.443.286,10.830.443.286,,,10830443286.0,10830443286.0
421,421,421,6. Lợi nhuận sau thuế chưa phân phối,,(2.803.940.146.986),(2.789.993.640.995),,,-2803940146986.0,-2789993640995.0
421a,421a,421a,LNST chưa phân phối lũy kế đến cuối năm trước,,(2.789.993.640.995),(2.766.679.453.639),,,-2789993640995.0,-2766679453639.0
421b,421b,421b,LNST chưa phân phối năm nay,,(13.946.505.991),(23.314.187.356),,,-13946505991.0,-23314187356.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,1.946.091.092.506,2.139.578.050.627,,,1946091092506.0,2139578050627.0
