row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,31/12/2019,01/01/2019Đã điều chỉnh,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__31/12/2019,numeric__01/01/2019Đã điều chỉnh
,,,,,VND,VND,,,,
200,200,200,B. TÀI SẢN DÀI HẠN,,1.610.102.314.967,1.658.062.022.215,,,1610102314967.0,1658062022215.0
210,210,210,I. Các khoản phải thu dài hạn,,380.651.026.673,380.651.026.673,,,380651026673.0,380651026673.0
212,212,212,1. Trả trước cho người bán dài hạn,06,906.052.163.234,907.256.666.534,,6.0,906052163234.0,907256666534.0
219,219,219,2. Dự phòng phải thu dài hạn khó đòi,,(525.401.136.561),(526.605.639.861),,,-525401136561.0,-526605639861.0
220,220,220,II. Tài sản cố định,,323.561.230,1.342.624.381,,,323561230.0,1342624381.0
221,221,221,1. Tài sản cố định hữu hình,13,323.561.230,1.342.624.381,,13.0,323561230.0,1342624381.0
222,222,222,- Nguyên giá,,1.340.931.818,4.480.159.965,,,1340931818.0,4480159965.0
223,223,223,- Giá trị hao mòn luy kế,,(1.017.370.588),(3.137.535.584),,,-1017370588.0,-3137535584.0
227,227,227,2. Tài sản cố định vô hình,,-,-,,,,
228,227 > 228,228,- Nguyên giá,,216.000.000,216.000.000,,,216000000.0,216000000.0
229,227 > 229,229,- Giá trị hao mòn luy kế,,(216.000.000),(216.000.000),,,-216000000.0,-216000000.0
240,227 > 240,240,III. Tài sản dở dang dài hạn,12,33.324.881.475,30.174.822.167,,12.0,33324881475.0,30174822167.0
242,227 > 242,242,1. Chi phí xây dựng cơ bản dở dang,,33.324.881.475,30.174.822.167,,,33324881475.0,30174822167.0
250,227 > 250,250,IV. Đầu tư tài chính dài hạn,04,869.164.800.598,911.149.717.353,,4.0,869164800598.0,911149717353.0
251,227 > 251,251,1. Đầu tư vào công ty con,,1.679.801.953.500,1.637.847.972.100,,,1679801953500.0,1637847972100.0
252,227 > 252,252,"2. Đầu tư vào công ty liên doanh, liên kết",,104.228.000.000,104.228.000.000,,,104228000000.0,104228000000.0
253,227 > 253,253,3. Đầu tư góp vốn vào đơn vị khác,,-,31.491.200.000,,,,31491200000.0
254,227 > 254,254,4. Dự phòng đầu tư tài chính dài hạn,,(914.865.152.902),(862.417.454.747),,,-914865152902.0,-862417454747.0
260,227 > 260,260,V. Tài sản dài hạn khác,,326.638.044.991,334.743.831.641,,,326638044991.0,334743831641.0
261,227 > 261,261,1. Chi phí trả trước dài hạn,14,326.638.044.991,334.743.831.641,,14.0,326638044991.0,334743831641.0
270,227 > 270,270,TỔNG CỘNG TÀI SẢN,,1.946.091.092.506,2.139.578.050.627,,,1946091092506.0,2139578050627.0
