row_label_raw,row_label_full,col_0,"Hoạt động thương mại, dịch vụ",Hoạt động xây lắp,Hoạt động kinh doanh BĐS,Tổng cộng toàn doanh nghiệp,"numeric__Hoạt động thương mại, dịch vụ",numeric__Hoạt động xây lắp,numeric__Hoạt động kinh doanh BĐS,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,12.780.268.201,7.313.279.700,5.953.974.689,26.047.522.590,12780268201.0,7313279700.0,5953974689.0,26047522590.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,(14.976.844.293),271.527.195,(3.436.563.438),(18.141.880.535),-14976844293.0,271527195.0,-3436563438.0,-18141880535.0
Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,Tổng chi phí mua tài sản cố định,3.180.059.308,-,-,3.180.059.308,3180059308.0,,,3180059308.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,113.821.539.929,1.485.804.915,1.508.311.264.708,1.623.618.609.552,113821539929.0,1485804915.0,1508311264708.0,1623618609552.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,322.472.482.954,,,,322472482954.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,113.821.539.929,1.485.804.915,1.508.311.264.708,1.946.091.092.506,113821539929.0,1485804915.0,1508311264708.0,1946091092506.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,15.931.752.696,4.645.011.027,1.148.765.982.948,1.169.342.746.671,15931752696.0,4645011027.0,1148765982948.0,1169342746671.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,468.700.057.309,,,,468700057309.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,15.931.752.696,4.645.011.027,1.148.765.982.948,1.638.042.803.980,15931752696.0,4645011027.0,1148765982948.0,1638042803980.0
