row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,31/12/2019 > VND,01/01/2019Đã điều chỉnh > VND,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__31/12/2019 > VND,numeric__01/01/2019Đã điều chỉnh > VND
100,100,100,A. TÀI SẢN NGẮN HẠN,,335.988.777.539,481.516.028.412,,,335988777539.0,481516028412.0
110,110,110,I. Tiền và các khoản tương đương tiền,03,21.783.603.778,72.978.975.246,,3.0,21783603778.0,72978975246.0
111,111,111,1. Tiền,,11.783.603.778,2.978.975.246,,,11783603778.0,2978975246.0
112,112,112,2. Các khoản tương đương tiền,,10.000.000.000,70.000.000.000,,,10000000000.0,70000000000.0
120,120,120,II. Đầu tư tài chính ngắn hạn,,10.631.205.000,39.118.395.000,,,10631205000.0,39118395000.0
121,121,121,1. Chứng khoán kinh doanh,04,53.998.425.000,53.998.425.000,,4.0,53998425000.0,53998425000.0
122,122,122,2. Dự phòng giảm giá chứng khoán kinh doanh,,(43.367.220.000),(44.880.030.000),,,-43367220000.0,-44880030000.0
123,123,123,3. Đầu tư nắm giữ đến ngày đáo hạn,,-,30.000.000.000,,,,30000000000.0
130,130,130,III. Các khoản phải thu ngắn hạn,,269.251.972.141,331.156.404.260,,,269251972141.0,331156404260.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,05,104.887.005.664,114.091.481.816,,5.0,104887005664.0,114091481816.0
132,132,132,2. Trà trước cho người bán ngắn hạn,06,208.837.547.814,209.170.595.923,,6.0,208837547814.0,209170595923.0
135,135,135,3. Phải thu về cho vay ngắn hạn,07,1.244.284.169.169,1.319.113.804.339,,7.0,1244284169169.0,1319113804339.0
136,136,136,4. Phải thu ngắn hạn khác,08,865.718.543.682,866.151.700.529,,8.0,865718543682.0,866151700529.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,,(2.157.984.842.441),(2.180.880.726.600),,,-2157984842441.0,-2180880726600.0
139,139,139,6. Tài sản thiếu chờ xử lý,09,3.509.548.253,3.509.548.253,,9.0,3509548253.0,3509548253.0
140,140,140,IV. Hàng tồn kho,11,33.157.648.871,36.920.967.052,,11.0,33157648871.0,36920967052.0
141,141,141,1. Hàng tồn kho,,38.012.016.433,41.775.334.614,,,38012016433.0,41775334614.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,,(4.854.367.562),(4.854.367.562),,,-4854367562.0,-4854367562.0
150,150,150,V. Tài sản ngắn hạn khác,,1.164.347.749,1.341.286.854,,,1164347749.0,1341286854.0
152,152,152,1. Thuế GTGT được khấu trừ,,78.129.166,255.068.271,,,78129166.0,255068271.0
153,153,153,2. Thuế và các khoản khác phải thu Nhà nước,18,1.086.218.583,1.086.218.583,,18.0,1086218583.0,1086218583.0
