row_label_raw,row_label_full,col_0,Mã số,Trình bày lại > VND,Đã trình bày trên báo cáo năm trước > VND,numeric__Mã số,numeric__Trình bày lại > VND,numeric__Đã trình bày trên báo cáo năm trước > VND
Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,Băng cân đối kế toán,,,
- Chi phí phải trả ngắn hạn,Băng cân đối kế toán > - Chi phí phải trả ngắn hạn,- Chi phí phải trả ngắn hạn,335,38.477.212.956,33.719.946.619,335.0,38477212956.0,33719946619.0
- Lợi nhuận sau thuế chưa phân phối,Băng cân đối kế toán > - Lợi nhuận sau thuế chưa phân phối,- Lợi nhuận sau thuế chưa phân phối,421,(2.789.993.640.995),(2.785.236.374.658),421.0,-2789993640995.0,-2785236374658.0
