row_label_raw,row_label_full,col_0,Võn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Võn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,5.294.000.000.000,159.137.253.402,363.020.245.619,5.816.157.499.021,5294000000000.0,159137253402.0,363020245619.0,5816157499021.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,639.435.136.791,639.435.136.791,,,639435136791.0,639435136791.0
Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2017 (i),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2017 (i),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2017 (i),-,76.732.216.415,(76.732.216.415),-,,76732216415.0,-76732216415.0,
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017 (i)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017 (i)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017 (i)",-,-,(67.972.540.892),(67.972.540.892),,,-67972540892.0,-67972540892.0
Trích bổ sung Quỹ thưởng Ban điều hành từ lợi nhuận sau thuế năm 2016,Trích bổ sung Quỹ thưởng Ban điều hành từ lợi nhuận sau thuế năm 2016,Trích bổ sung Quỹ thưởng Ban điều hành từ lợi nhuận sau thuế năm 2016,-,-,(369.359.123),(369.359.123),,,-369359123.0,-369359123.0
Chia cổ tức năm 2016,Chia cổ tức năm 2016,Chia cổ tức năm 2016,-,-,(264.700.000.000),(264.700.000.000),,,-264700000000.0,-264700000000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.294.000.000.000,235.869.469.817,592.681.265.980,6.122.550.735.797,5294000000000.0,235869469817.0,592681265980.0,6122550735797.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,650.401.285.348,650.401.285.348,,,650401285348.0,650401285348.0
Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2018 (ii),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2018 (ii),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2018 (ii),-,78.451.022.790,(78.451.022.790),-,,78451022790.0,-78451022790.0,
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2018 (ii)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2018 (ii)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2018 (ii)",-,-,(65.677.227.070),(65.677.227.070),,,-65677227070.0,-65677227070.0
"Trích bổ sung Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017 (iii)","Trích bổ sung Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017 (iii)","Trích bổ sung Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2017 (iii)",-,-,(143.486.466),(143.486.466),,,-143486466.0,-143486466.0
Chia cổ tức năm 2017 (i),Chia cổ tức năm 2017 (i),Chia cổ tức năm 2017 (i),-,-,(476.460.000.000),(476.460.000.000),,,-476460000000.0,-476460000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,5.294.000.000.000,314.320.492.607,622.350.815.002,6.230.671.307.609,5294000000000.0,314320492607.0,622350815002.0,6230671307609.0
