row_label_raw,row_label_full,Khâu hao tài sản cố định,02,1.292.636.538.669,1.299.341.302.383,numeric__02,numeric__1.292.636.538.669,numeric__1.299.341.302.383
Các khoản dự phòng,Các khoản dự phòng,Các khoản dự phòng,03,-,(1.505.064.148),3.0,,-1505064148.0
Lỗ/(lãi) chênh lệch tỷ giá hõi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ/(lãi) chênh lệch tỷ giá hõi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ/(lãi) chênh lệch tỷ giá hõi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,49.838.690.796,(10.232.246.932),4.0,49838690796.0,-10232246932.0
Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(158.470.485.485),(159.804.185.039),5.0,-158470485485.0,-159804185039.0
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,06,138.785.687.004,179.518.856.969,6.0,138785687004.0,179518856969.0
Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,71.305.673.759,72.825.537.606,7.0,71305673759.0,72825537606.0
