row_label_raw,row_label_full,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Số cuối nămVND > 3.698.943.200,Số đầu nămVND > 1.314.156.000,numeric__Số cuối nămVND > 3.698.943.200,numeric__Số đầu nămVND > 1.314.156.000
Công ty TNHH MTV Tường Dung An Giang,Công ty TNHH MTV Tường Dung An Giang,Công ty TNHH MTV Tường Dung An Giang,8.033.321.750,-,8033321750.0,
Công ty TNHH Hóa chất và Xây dựng Phú Mỹ,Công ty TNHH Hóa chất và Xây dựng Phú Mỹ,Công ty TNHH Hóa chất và Xây dựng Phú Mỹ,5.867.139.482,-,5867139482.0,
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,-,18.761.340,,18761340.0
,,,17.599.404.432,1.332.917.340,17599404432.0,1332917340.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khách hàng là các bên liên quan(Chỉ tiết tại Thuyết minh số 35),Trong đó: > Phải thu khách hàng là các bên liên quan(Chỉ tiết tại Thuyết minh số 35),Phải thu khách hàng là các bên liên quan(Chỉ tiết tại Thuyết minh số 35),3.698.943.200,1.314.156.000,3698943200.0,1314156000.0
