row_label_raw,row_label_full,(Tăng)/giảm các khoản phải thu,09,(48.050.920.822),102.232.362.105,numeric__09,numeric__(48.050.920.822),numeric__102.232.362.105
(Tăng)/giảm hàng tồn kho,(Tăng)/giảm hàng tồn kho,(Tăng)/giảm hàng tồn kho,10,(619.109.553.010),19.480.695.020,10.0,-619109553010.0,19480695020.0
"Tăng các khoản phải trả (Không kể lãi vay phải trả, thuễ thu nhập doanh nghiệp phải nộp)","Tăng các khoản phải trả (Không kể lãi vay phải trả, thuễ thu nhập doanh nghiệp phải nộp)","Tăng các khoản phải trả (Không kể lãi vay phải trả, thuễ thu nhập doanh nghiệp phải nộp)",11,429.606.766.320,269.482.443.612,11.0,429606766320.0,269482443612.0
(Tăng)/giảm chi phí trả trước,(Tăng)/giảm chi phí trả trước,(Tăng)/giảm chi phí trả trước,12,(52.191.504.190),94.040.664.356,12.0,-52191504190.0,94040664356.0
Tiền lãi vay đã trả,Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(170.798.655.519),(173.846.298.201),14.0,-170798655519.0,-173846298201.0
Thuễ thu nhập doanh nghiệp đã nộp,Thuễ thu nhập doanh nghiệp đã nộp,Thuễ thu nhập doanh nghiệp đã nộp,15,(28.320.220.571),(25.386.393.016),15.0,-28320220571.0,-25386393016.0
Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(80.532.488.275),(91.485.439.476),17.0,-80532488275.0,-91485439476.0
Lưu chuyển tiên thuần từ hoạt động kinh doanh,Lưu chuyển tiên thuần từ hoạt động kinh doanh,Lưu chuyển tiên thuần từ hoạt động kinh doanh,20,1.521.577.479.143,2.250.825.109.804,20.0,1521577479143.0,2250825109804.0
