row_label_raw,row_label_full,col_0,Nhà xuốngvà vất kiến trúc,Máy mócvà thiết bị,Thiết bịvăn phòng,Phương tiệnvận tải và thiếtbj truyền dẫn,Khác,Tổng,numeric__Nhà xuốngvà vất kiến trúc,numeric__Máy mócvà thiết bị,numeric__Thiết bịvăn phòng,numeric__Phương tiệnvận tải và thiếtbj truyền dẫn,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.341.005.734.994,10.300.412.922.810,60.536.289.124,54.704.316.528,58.758.591.244,13.815.417.854.700,3341005734994.0,10300412922810.0,60536289124.0,54704316528.0,58758591244.0,13815417854700.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,66.848.728.977,9.782.345.966,5.654.920.194,51.375.500,82.337.370.637,,66848728977.0,9782345966.0,5654920194.0,51375500.0,82337370637.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,7.435.923.883,26.082.969.084,2.359.166.650,-,560.007.071,36.438.066.688,7435923883.0,26082969084.0,2359166650.0,,560007071.0,36438066688.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.348.441.658.877,10.393.344.620.871,72.677.801.740,60.359.236.722,59.369.973.815,13.934.193.292.025,3348441658877.0,10393344620871.0,72677801740.0,60359236722.0,59369973815.0,13934193292025.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.636.717.505.633,4.687.535.223.443,40.122.448.236,41.164.075.663,16.935.466.928,6.422.474.719.903,1636717505633.0,4687535223443.0,40122448236.0,41164075663.0,16935466928.0,6422474719903.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,297.898.189.434,973.030.624.376,6.342.646.426,5.047.372.408,638.502.051,1.282.957.334.695,297898189434.0,973030624376.0,6342646426.0,5047372408.0,638502051.0,1282957334695.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.934.615.695.067,5.660.565.847.819,46.465.094.662,46.211.448.071,17.573.968.979,7.705.432.054.598,1934615695067.0,5660565847819.0,46465094662.0,46211448071.0,17573968979.0,7705432054598.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.704.288.229.361,5.612.877.699.367,20.413.840.888,13.540.240.865,41.823.124.316,7.392.943.134.797,1704288229361.0,5612877699367.0,20413840888.0,13540240865.0,41823124316.0,7392943134797.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.413.825.963.810,4.732.778.773.052,26.212.707.078,14.147.788.651,41.796.004.836,6.228.761.237.427,1413825963810.0,4732778773052.0,26212707078.0,14147788651.0,41796004836.0,6228761237427.0
