row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số Thuyết minh,Mã số Thuyết minh_1,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,25,6.826.442.194.840,5.825.331.233.371,,1.0,25.0,6826442194840.0,5825331233371.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,25,138.005.245.929,85.218.359.150,,2.0,25.0,138005245929.0,85218359150.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,6.688.436.948.911,5.740.112.874.221,,10.0,,6688436948911.0,5740112874221.0
4.,4.,4.,Giá vốn hàng bán,11,26,5.281.802.405.304,4.383.956.645.813,,11.0,26.0,5281802405304.0,4383956645813.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.406.634.543.607,1.356.156.228.408,,20.0,,1406634543607.0,1356156228408.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,28,176.146.051.932,171.869.630.084,,21.0,28.0,176146051932.0,171869630084.0
7.,7.,7.,Chi phí tài chính,22,29,256.850.892.352,199.420.343.837,,22.0,29.0,256850892352.0,199420343837.0
,,,- Trong đó: Chi phí lãi vay,23,,138.785.687.004,179.518.856.969,,23.0,,138785687004.0,179518856969.0
8.,8.,8.,Chi phí bán hàng,25,30,331.007.569.478,329.872.265.339,,25.0,30.0,331007569478.0,329872265339.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,30,307.545.301.591,325.670.278.980,,26.0,30.0,307545301591.0,325670278980.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,687.376.832.118,673.062.970.336,,30.0,,687376832118.0,673062970336.0
11.,11.,11.,Thu nhập khác,31,31,14.253.913.513,3.182.396.723,,31.0,31.0,14253913513.0,3182396723.0
12.,12.,12.,Chi phí khác,32,31,4.752.795.164,82.492.494,,32.0,31.0,4752795164.0,82492494.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,31,9.501.118.349,3.099.904.229,,40.0,31.0,9501118349.0,3099904229.0
14.,14.,14.,Tổng lợi nhuận kể toán trước thuế (50=30+40),50,,696.877.950.467,676.162.874.565,,50.0,,696877950467.0,676162874565.0
15.,15.,15.,Chi phí thuê thu nhập doanh nghiệp hiện hành,51,32,44.647.599.359,39.442.544.357,,51.0,32.0,44647599359.0,39442544357.0
16.,16.,16.,Chi phí/(thu nhập) thuê thu nhập doanh nghiệp hoãn lại,52,,1.829.065.760,(2.714.806.583),,52.0,,1829065760.0,-2714806583.0
17.,17.,17.,Lợi nhuận sau thuê thu nhập doanh nghiệp (60=50-51-52),60,,650.401.285.348,639.435.136.791,,60.0,,650401285348.0,639435136791.0
