row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẢN HẠN,100,,4.299.205.893.052,4.814.488.440.420,,100.0,,4299205893052.0,4814488440420.0
I.,I.,I.,Tiền và các khoản tương đương tiên,110,4,283.034.462.335,1.895.578.592.820,,110.0,4.0,283034462335.0,1895578592820.0
1.,1.,1.,Tiền,111,,163.034.462.335,393.228.592.820,,111.0,,163034462335.0,393228592820.0
2.,2.,2.,Các khoản tương đương tiên,112,,120.000.000.000,1.502.350.000.000,,112.0,,120000000000.0,1502350000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,2.502.000.000.000,2.100.000.000.000,,120.0,5.0,2502000000000.0,2100000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,2.502.000.000.000,2.100.000.000.000,,123.0,,2502000000000.0,2100000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,454.033.875.037,401.994.588.549,,130.0,,454033875037.0,401994588549.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,17.599.404.432,1.332.917.340,,131.0,6.0,17599404432.0,1332917340.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,86.367.565.902,88.332.890.852,,132.0,7.0,86367565902.0,88332890852.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,350.066.904.703,311.850.214.848,,136.0,8.0,350066904703.0,311850214848.0
4.,4.,4.,Tài sản thiếu chờ xử lý,139,,-,478.565.509,,139.0,,,478565509.0
IV.,IV.,IV.,Hàng tồn kho,140,9,966.014.219.866,346.904.666.856,,140.0,9.0,966014219866.0,346904666856.0
1.,1.,1.,Hàng tồn kho,141,,966.014.219.866,346.904.666.856,,141.0,,966014219866.0,346904666856.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,94.123.335.814,70.010.592.195,,150.0,,94123335814.0,70010592195.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,57.928.662.587,25.861.128.945,,151.0,10.0,57928662587.0,25861128945.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,35.648.407.632,43.662.950.934,,152.0,,35648407632.0,43662950934.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,16,546.265.595,486.512.316,,153.0,16.0,546265595.0,486512316.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,6.662.986.666.166,7.560.000.032.370,,200.0,,6662986666166.0,7560000032370.0
I.,I.,I.,Tài sản cố định,220,,6.267.392.464.636,7.424.628.566.327,,220.0,,6267392464636.0,7424628566327.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,6.228.761.237.427,7.392.943.134.797,,221.0,11.0,6228761237427.0,7392943134797.0
,,,- Nguyên giá,222,,13.934.193.292.025,13.815.417.854.700,,222.0,,13934193292025.0,13815417854700.0
,,,- Giá trị hao mòn lũy kế,223,,(7.705.432.054.598),(6.422.474.719.903),,223.0,,-7705432054598.0,-6422474719903.0
2.,2.,2.,Tài sản cố định vô hình,227,12,38.631.227.209,31.685.431.530,,227.0,12.0,38631227209.0,31685431530.0
,,,- Nguyên giá,228,,105.509.604.017,85.394.363.908,,228.0,,105509604017.0,85394363908.0
,,,- Giá trị hao mòn lũy kế,229,,(66.878.376.808),(53.708.932.378),,229.0,,-66878376808.0,-53708932378.0
II.,II.,II.,Tài sản dở dang dài hạn,240,,346.374.351.728,104.446.521.029,,240.0,,346374351728.0,104446521029.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,13,346.374.351.728,104.446.521.029,,242.0,13.0,346374351728.0,104446521029.0
III.,III.,III.,Đầu tư tài chính dài hạn,250,5,20.826.250.000,20.826.250.000,,250.0,5.0,20826250000.0,20826250000.0
1.,1.,1.,Đầu tư vào công ty con,251,,20.826.250.000,20.826.250.000,,251.0,,20826250000.0,20826250000.0
IV.,IV.,IV.,Tài sản dài hạn khác,260,,28.393.599.802,10.098.695.014,,260.0,,28393599802.0,10098695014.0
1.,1.,1.,Chi phí trả trước dài hạn,261,10,27.507.858.979,7.383.888.431,,261.0,10.0,27507858979.0,7383888431.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,,885.740.823,2.714.806.583,,262.0,,885740823.0,2714806583.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,10.962.192.559.218,12.374.488.472.790,,270.0,,10962192559218.0,12374488472790.0
